received,global time,len of queue,logical clock time
SEND TO C,1678167847.321444,0,0
INTERNAL EVENT,1678167847.8216069,0,1
SEND TO A,1678167848.322641,0,2
SEND TO C,1678167848.3228018,0,3
SEND TO C,1678167848.8236318,0,4
INTERNAL EVENT,1678167849.324605,0,5
INTERNAL EVENT,1678167850.326598,0,9
INTERNAL EVENT,1678167851.32862,0,12
INTERNAL EVENT,1678167851.829598,0,13
INTERNAL EVENT,1678167852.330553,0,14
INTERNAL EVENT,1678167853.8336189,0,20
INTERNAL EVENT,1678167854.334574,0,21
INTERNAL EVENT,1678167856.839892,0,32
INTERNAL EVENT,1678167857.340618,0,33
INTERNAL EVENT,1678167857.841611,0,34
SEND TO C,1678167858.342763,0,35
INTERNAL EVENT,1678167858.843609,0,36
INTERNAL EVENT,1678167859.3446279,0,37
SEND TO C,1678167860.346729,0,43
INTERNAL EVENT,1678167860.847775,0,44
INTERNAL EVENT,1678167861.348644,0,45
INTERNAL EVENT,1678167861.849637,0,46
SEND TO A,1678167862.851682,0,50
SEND TO A,1678167863.35259,0,51
INTERNAL EVENT,1678167863.853602,0,52
INTERNAL EVENT,1678167864.3545861,0,53
INTERNAL EVENT,1678167864.855615,0,54
INTERNAL EVENT,1678167865.356568,0,55
INTERNAL EVENT,1678167867.8616178,0,67
INTERNAL EVENT,1678167868.362658,0,68
INTERNAL EVENT,1678167869.364619,0,72
INTERNAL EVENT,1678167869.8655949,0,73
INTERNAL EVENT,1678167870.366689,0,74
INTERNAL EVENT,1678167870.867649,0,75
INTERNAL EVENT,1678167871.36863,0,76
SEND TO A,1678167871.869625,0,77
SEND TO C,1678167871.869735,0,78
INTERNAL EVENT,1678167872.370608,0,79
INTERNAL EVENT,1678167872.8715808,0,80
INTERNAL EVENT,1678167873.372597,0,81
INTERNAL EVENT,1678167874.8755908,0,91
INTERNAL EVENT,1678167875.37658,0,92
INTERNAL EVENT,1678167875.877595,0,93
INTERNAL EVENT,1678167876.3785632,0,94
INTERNAL EVENT,1678167876.879637,0,95
SEND TO C,1678167877.38066,0,96
INTERNAL EVENT,1678167877.8815749,0,97
INTERNAL EVENT,1678167878.382854,0,98
SEND TO A,1678167879.384675,0,105
SEND TO C,1678167879.384777,0,106
INTERNAL EVENT,1678167879.885611,0,107
SEND TO A,1678167880.3866198,0,108
SEND TO C,1678167880.386987,0,109
INTERNAL EVENT,1678167880.887615,0,110
INTERNAL EVENT,1678167881.388587,0,111
INTERNAL EVENT,1678167882.891646,0,115
INTERNAL EVENT,1678167883.3925602,0,116
INTERNAL EVENT,1678167884.394592,0,119
INTERNAL EVENT,1678167884.89571,0,120
SEND TO A,1678167885.3972428,0,121
INTERNAL EVENT,1678167885.897645,0,122
INTERNAL EVENT,1678167886.8996348,0,127
SEND TO A,1678167888.903902,0,135
SEND TO C,1678167889.905737,0,138
INTERNAL EVENT,1678167890.406803,0,139
INTERNAL EVENT,1678167890.907585,0,140
INTERNAL EVENT,1678167891.4086301,0,141
INTERNAL EVENT,1678167891.909696,0,142
INTERNAL EVENT,1678167892.410623,0,143
SEND TO A,1678167893.412745,0,148
SEND TO C,1678167893.913673,0,149
INTERNAL EVENT,1678167894.4146109,0,150
INTERNAL EVENT,1678167895.9176252,0,156
INTERNAL EVENT,1678167896.4186702,0,157
INTERNAL EVENT,1678167896.9196181,0,158
SEND TO A,1678167897.420665,0,159
SEND TO A,1678167897.921682,0,160
INTERNAL EVENT,1678167898.4226508,0,161
SEND TO C,1678167898.9236622,0,162
INTERNAL EVENT,1678167899.4246662,0,163
INTERNAL EVENT,1678167900.426732,0,170
INTERNAL EVENT,1678167900.9276102,0,171
SEND TO A,1678167901.929707,0,175
SEND TO C,1678167901.929899,0,176
SEND TO A,1678167902.432477,0,177
SEND TO A,1678167903.4328651,0,180
INTERNAL EVENT,1678167903.9337118,0,181
SEND TO A,1678167904.435176,0,182
INTERNAL EVENT,1678167906.438953,0,191
SEND TO C,1678167906.939757,0,192
