received,global time,len of queue,logical clock time
INTERNAL EVENT,1678167847.3214562,0,0
INTERNAL EVENT,1678167848.321661,0,1
INTERNAL EVENT,1678167852.325619,0,8
INTERNAL EVENT,1678167854.3275971,0,19
INTERNAL EVENT,1678167860.333955,0,38
INTERNAL EVENT,1678167865.33867,0,52
INTERNAL EVENT,1678167871.345849,0,73
INTERNAL EVENT,1678167876.350698,0,90
INTERNAL EVENT,1678167878.3527098,0,99
INTERNAL EVENT,1678167879.3537579,0,100
SEND TO B,1678167882.356877,0,109
SEND TO C,1678167882.357075,0,110
INTERNAL EVENT,1678167883.35759,0,111
INTERNAL EVENT,1678167884.358627,0,112
SEND TO C,1678167885.359998,0,113
INTERNAL EVENT,1678167890.365521,0,136
INTERNAL EVENT,1678167892.366657,0,143
INTERNAL EVENT,1678167895.369666,0,150
INTERNAL EVENT,1678167897.371632,0,157
INTERNAL EVENT,1678167900.37495,0,161
