received,global time,len of queue,logical clock time
INTERNAL EVENT,1678167777.205872,0,0
INTERNAL EVENT,1678167777.406603,0,1
INTERNAL EVENT,1678167777.607624,0,2
INTERNAL EVENT,1678167778.009592,0,4
INTERNAL EVENT,1678167778.210582,0,5
SEND TO C,1678167778.4116669,0,6
SEND TO A,1678167778.612673,0,7
SEND TO C,1678167778.612842,0,8
INTERNAL EVENT,1678167778.813605,0,9
INTERNAL EVENT,1678167779.0146172,0,10
INTERNAL EVENT,1678167779.215616,0,11
INTERNAL EVENT,1678167779.617718,0,14
SEND TO A,1678167779.8186612,0,15
INTERNAL EVENT,1678167780.019617,0,16
SEND TO A,1678167780.220639,0,17
SEND TO C,1678167780.220793,0,18
SEND TO A,1678167780.421659,0,19
SEND TO C,1678167780.4218292,0,20
INTERNAL EVENT,1678167780.622605,0,21
SEND TO A,1678167780.823644,0,22
SEND TO C,1678167780.8238049,0,23
INTERNAL EVENT,1678167781.024619,0,24
INTERNAL EVENT,1678167781.225576,0,25
INTERNAL EVENT,1678167781.6276119,0,27
INTERNAL EVENT,1678167781.8286169,0,28
INTERNAL EVENT,1678167783.0346189,0,36
SEND TO A,1678167783.235646,0,37
SEND TO A,1678167783.4367518,0,38
SEND TO C,1678167783.437205,0,39
INTERNAL EVENT,1678167783.63764,0,40
INTERNAL EVENT,1678167783.838609,0,41
INTERNAL EVENT,1678167784.441591,0,46
INTERNAL EVENT,1678167784.642648,0,47
INTERNAL EVENT,1678167785.044638,0,50
SEND TO C,1678167785.446696,0,52
INTERNAL EVENT,1678167785.647598,0,53
SEND TO A,1678167785.8486369,0,54
SEND TO C,1678167785.848799,0,55
INTERNAL EVENT,1678167786.049661,0,56
INTERNAL EVENT,1678167786.451607,0,58
SEND TO A,1678167786.6526458,0,59
INTERNAL EVENT,1678167787.054601,0,62
INTERNAL EVENT,1678167787.25562,0,63
SEND TO A,1678167787.456629,0,64
SEND TO C,1678167787.456797,0,65
INTERNAL EVENT,1678167787.657632,0,66
INTERNAL EVENT,1678167787.858596,0,67
SEND TO A,1678167788.059642,0,68
SEND TO C,1678167788.0598059,0,69
INTERNAL EVENT,1678167788.260654,0,70
INTERNAL EVENT,1678167788.461607,0,71
INTERNAL EVENT,1678167788.662604,0,72
INTERNAL EVENT,1678167788.863602,0,73
INTERNAL EVENT,1678167789.064579,0,74
INTERNAL EVENT,1678167789.466605,0,76
SEND TO C,1678167789.6676412,0,77
INTERNAL EVENT,1678167789.868607,0,78
INTERNAL EVENT,1678167790.069707,1,79
INTERNAL EVENT,1678167790.6725929,0,84
SEND TO C,1678167791.4766452,0,90
SEND TO A,1678167791.677672,0,91
SEND TO C,1678167791.6778681,0,92
SEND TO C,1678167791.878656,0,93
INTERNAL EVENT,1678167792.280666,0,95
INTERNAL EVENT,1678167792.481627,0,96
INTERNAL EVENT,1678167792.682605,0,97
SEND TO C,1678167792.883657,0,98
SEND TO A,1678167793.486646,0,103
SEND TO C,1678167793.486807,0,104
SEND TO A,1678167793.687639,0,105
INTERNAL EVENT,1678167794.6926029,0,112
INTERNAL EVENT,1678167794.8936179,0,113
INTERNAL EVENT,1678167795.094599,0,114
INTERNAL EVENT,1678167795.295606,0,115
SEND TO C,1678167795.4966762,0,116
INTERNAL EVENT,1678167795.69761,0,117
SEND TO A,1678167796.0997062,0,121
SEND TO C,1678167796.099923,0,122
SEND TO A,1678167796.300726,0,123
SEND TO C,1678167796.300927,0,124
INTERNAL EVENT,1678167796.501614,0,125
INTERNAL EVENT,1678167796.702603,0,126
INTERNAL EVENT,1678167796.903606,0,127
INTERNAL EVENT,1678167797.305614,0,129
INTERNAL EVENT,1678167797.506591,0,130
SEND TO C,1678167797.707628,0,131
INTERNAL EVENT,1678167797.9086149,0,132
SEND TO C,1678167798.3107672,0,135
INTERNAL EVENT,1678167798.511652,0,136
SEND TO A,1678167799.1146371,0,141
SEND TO C,1678167799.114839,0,142
INTERNAL EVENT,1678167799.315625,0,143
INTERNAL EVENT,1678167799.717601,0,146
INTERNAL EVENT,1678167799.9185972,0,147
SEND TO A,1678167800.320639,0,150
INTERNAL EVENT,1678167800.722616,0,153
INTERNAL EVENT,1678167800.923603,0,154
SEND TO A,1678167801.325672,0,158
SEND TO C,1678167801.325867,0,159
INTERNAL EVENT,1678167801.526624,0,160
INTERNAL EVENT,1678167801.727612,0,161
INTERNAL EVENT,1678167801.928612,0,162
INTERNAL EVENT,1678167802.129599,0,163
SEND TO A,1678167802.5316322,0,165
SEND TO A,1678167802.933652,1,168
SEND TO C,1678167802.933813,1,169
INTERNAL EVENT,1678167803.536642,0,174
INTERNAL EVENT,1678167804.139648,0,179
INTERNAL EVENT,1678167804.5676029,0,182
SEND TO C,1678167804.768613,0,183
SEND TO C,1678167804.969665,0,184
SEND TO C,1678167805.17069,0,185
INTERNAL EVENT,1678167805.371625,0,186
INTERNAL EVENT,1678167805.572617,0,187
INTERNAL EVENT,1678167805.773623,0,188
INTERNAL EVENT,1678167806.17561,0,192
INTERNAL EVENT,1678167806.37667,0,193
SEND TO A,1678167806.577659,0,194
SEND TO C,1678167807.381672,0,201
INTERNAL EVENT,1678167807.582601,0,202
INTERNAL EVENT,1678167807.783958,0,203
SEND TO A,1678167807.984881,0,204
SEND TO C,1678167807.989284,0,205
SEND TO A,1678167808.18577,0,206
INTERNAL EVENT,1678167808.3866591,0,207
INTERNAL EVENT,1678167808.5876071,0,208
SEND TO A,1678167808.7887008,0,209
SEND TO A,1678167808.989752,0,210
INTERNAL EVENT,1678167809.1906078,0,211
INTERNAL EVENT,1678167809.391637,0,212
INTERNAL EVENT,1678167809.59289,0,213
INTERNAL EVENT,1678167809.7936509,0,214
INTERNAL EVENT,1678167809.9946082,0,215
INTERNAL EVENT,1678167810.1958861,0,216
SEND TO A,1678167810.3967621,0,217
INTERNAL EVENT,1678167810.798629,0,222
INTERNAL EVENT,1678167810.9996731,0,223
INTERNAL EVENT,1678167811.2006552,0,224
INTERNAL EVENT,1678167811.401621,0,225
INTERNAL EVENT,1678167811.602646,0,226
INTERNAL EVENT,1678167811.803617,0,227
SEND TO A,1678167812.205678,0,229
SEND TO A,1678167812.4066901,0,230
SEND TO C,1678167812.406898,0,231
SEND TO A,1678167812.6076741,0,232
INTERNAL EVENT,1678167812.8086321,0,233
SEND TO A,1678167813.0097122,0,234
SEND TO C,1678167813.210738,0,235
SEND TO A,1678167813.411691,0,236
INTERNAL EVENT,1678167813.67913,0,237
SEND TO A,1678167813.879671,0,238
SEND TO C,1678167813.879862,0,239
INTERNAL EVENT,1678167814.082101,0,240
SEND TO A,1678167814.281635,0,241
SEND TO C,1678167814.281808,0,242
SEND TO A,1678167814.4826748,0,243
INTERNAL EVENT,1678167814.683611,0,244
INTERNAL EVENT,1678167814.884712,0,245
INTERNAL EVENT,1678167815.085598,0,246
SEND TO C,1678167815.487639,0,250
INTERNAL EVENT,1678167815.688576,0,251
INTERNAL EVENT,1678167815.88959,0,252
SEND TO A,1678167816.090626,0,253
SEND TO C,1678167816.090771,0,254
INTERNAL EVENT,1678167816.291595,0,255
INTERNAL EVENT,1678167817.0956101,0,260
INTERNAL EVENT,1678167817.698623,0,263
INTERNAL EVENT,1678167817.899615,0,264
SEND TO C,1678167818.100739,0,265
INTERNAL EVENT,1678167818.30163,0,266
INTERNAL EVENT,1678167818.502648,0,267
INTERNAL EVENT,1678167818.904618,0,271
SEND TO A,1678167819.1056929,0,272
SEND TO C,1678167819.306695,0,273
INTERNAL EVENT,1678167819.5081222,0,274
SEND TO C,1678167819.708679,0,275
INTERNAL EVENT,1678167819.909678,0,276
SEND TO A,1678167820.1198258,0,277
SEND TO C,1678167820.120162,0,278
INTERNAL EVENT,1678167820.320647,0,279
INTERNAL EVENT,1678167820.521641,0,280
INTERNAL EVENT,1678167820.722641,0,281
INTERNAL EVENT,1678167820.923599,0,282
INTERNAL EVENT,1678167821.124607,0,283
INTERNAL EVENT,1678167821.3256378,0,284
INTERNAL EVENT,1678167821.526602,0,285
SEND TO C,1678167821.727679,0,286
INTERNAL EVENT,1678167821.9286542,0,287
INTERNAL EVENT,1678167822.330647,0,291
INTERNAL EVENT,1678167822.531623,0,292
SEND TO A,1678167822.933751,0,295
INTERNAL EVENT,1678167823.134612,0,296
INTERNAL EVENT,1678167823.3356512,0,297
INTERNAL EVENT,1678167823.5366662,0,298
INTERNAL EVENT,1678167823.737598,0,299
INTERNAL EVENT,1678167823.938615,0,300
SEND TO A,1678167824.13965,0,301
INTERNAL EVENT,1678167824.3406389,0,302
INTERNAL EVENT,1678167824.54158,0,303
SEND TO C,1678167824.7426481,0,304
INTERNAL EVENT,1678167824.943635,0,305
INTERNAL EVENT,1678167825.144587,0,306
INTERNAL EVENT,1678167825.3456159,0,307
SEND TO C,1678167825.546728,1,308
SEND TO C,1678167826.1496232,0,315
INTERNAL EVENT,1678167826.551591,0,317
SEND TO C,1678167826.752645,0,318
SEND TO A,1678167826.953683,0,319
INTERNAL EVENT,1678167827.15462,0,320
INTERNAL EVENT,1678167827.3556201,0,321
INTERNAL EVENT,1678167828.1596,0,328
INTERNAL EVENT,1678167828.3606012,0,329
SEND TO A,1678167828.561641,0,330
INTERNAL EVENT,1678167828.762621,0,331
SEND TO C,1678167828.9636421,0,332
INTERNAL EVENT,1678167829.164705,0,333
INTERNAL EVENT,1678167829.3656142,0,334
INTERNAL EVENT,1678167829.5666199,0,335
INTERNAL EVENT,1678167829.767631,0,336
INTERNAL EVENT,1678167829.9686139,0,337
INTERNAL EVENT,1678167830.169596,0,338
SEND TO A,1678167830.370676,0,339
SEND TO C,1678167830.37085,0,340
INTERNAL EVENT,1678167830.5715961,0,341
INTERNAL EVENT,1678167830.772614,0,342
INTERNAL EVENT,1678167830.973629,0,343
SEND TO A,1678167831.1746712,0,344
INTERNAL EVENT,1678167831.576614,0,348
INTERNAL EVENT,1678167831.978637,0,351
INTERNAL EVENT,1678167832.1796212,0,352
INTERNAL EVENT,1678167832.3806982,0,353
INTERNAL EVENT,1678167832.78262,0,356
SEND TO C,1678167832.983777,0,357
INTERNAL EVENT,1678167833.1846,0,358
SEND TO A,1678167833.385644,0,359
SEND TO C,1678167833.385797,0,360
INTERNAL EVENT,1678167834.189609,0,366
INTERNAL EVENT,1678167834.993624,0,371
SEND TO A,1678167835.194858,0,372
SEND TO A,1678167835.395655,0,373
SEND TO C,1678167835.4035,0,374
INTERNAL EVENT,1678167835.5966568,0,375
SEND TO A,1678167835.797672,0,376
SEND TO C,1678167835.797894,0,377
INTERNAL EVENT,1678167835.998624,0,378
INTERNAL EVENT,1678167836.199641,0,379
INTERNAL EVENT,1678167836.400609,0,380
