received,global time,len of queue,logical clock time
INTERNAL EVENT,1678167777.205801,0,0
INTERNAL EVENT,1678167777.372606,0,1
SEND TO A,1678167777.539648,0,2
SEND TO B,1678167777.7066529,0,3
INTERNAL EVENT,1678167777.873609,0,4
INTERNAL EVENT,1678167778.207603,0,6
INTERNAL EVENT,1678167778.374593,0,7
INTERNAL EVENT,1678167778.875608,0,10
INTERNAL EVENT,1678167779.209617,0,12
SEND TO B,1678167779.376651,0,13
INTERNAL EVENT,1678167779.710585,0,15
INTERNAL EVENT,1678167779.877619,0,16
INTERNAL EVENT,1678167780.0446131,0,17
INTERNAL EVENT,1678167780.211595,0,18
INTERNAL EVENT,1678167780.712608,0,21
INTERNAL EVENT,1678167781.046612,0,24
INTERNAL EVENT,1678167781.2136042,0,25
SEND TO B,1678167781.38065,0,26
INTERNAL EVENT,1678167781.5476239,0,27
SEND TO A,1678167781.714628,0,28
SEND TO B,1678167781.881672,0,29
SEND TO B,1678167782.048691,0,30
INTERNAL EVENT,1678167782.2156138,0,31
SEND TO A,1678167782.549657,0,33
SEND TO A,1678167782.7166579,0,34
SEND TO B,1678167782.7168288,0,35
SEND TO A,1678167782.883661,0,36
INTERNAL EVENT,1678167783.050601,0,37
INTERNAL EVENT,1678167783.217602,0,38
INTERNAL EVENT,1678167783.3855538,0,39
INTERNAL EVENT,1678167783.7186098,0,41
SEND TO A,1678167783.885643,0,42
SEND TO B,1678167783.88581,0,43
INTERNAL EVENT,1678167784.052683,0,44
SEND TO B,1678167784.21969,0,45
INTERNAL EVENT,1678167784.386656,0,46
SEND TO A,1678167784.553698,0,47
SEND TO A,1678167784.7206771,0,48
SEND TO B,1678167784.720861,0,49
INTERNAL EVENT,1678167784.8876102,0,50
INTERNAL EVENT,1678167785.0546172,0,51
INTERNAL EVENT,1678167785.221601,0,52
INTERNAL EVENT,1678167785.722612,0,55
SEND TO B,1678167786.05667,0,57
INTERNAL EVENT,1678167786.223603,0,58
INTERNAL EVENT,1678167786.390605,0,59
INTERNAL EVENT,1678167786.557606,0,60
SEND TO B,1678167786.724666,0,61
INTERNAL EVENT,1678167786.891616,0,62
INTERNAL EVENT,1678167787.058584,0,63
INTERNAL EVENT,1678167787.2256389,0,64
INTERNAL EVENT,1678167787.392593,0,65
INTERNAL EVENT,1678167787.726609,0,67
SEND TO A,1678167787.893645,0,68
INTERNAL EVENT,1678167788.06059,0,69
INTERNAL EVENT,1678167788.394609,0,71
INTERNAL EVENT,1678167788.561601,0,72
INTERNAL EVENT,1678167788.728601,0,73
INTERNAL EVENT,1678167788.895608,0,74
INTERNAL EVENT,1678167789.062591,0,75
INTERNAL EVENT,1678167789.2295942,0,76
INTERNAL EVENT,1678167789.3966022,0,77
INTERNAL EVENT,1678167789.563603,0,78
SEND TO A,1678167789.897696,0,80
SEND TO B,1678167790.064669,0,81
SEND TO A,1678167790.2317,0,82
SEND TO B,1678167790.231874,0,83
INTERNAL EVENT,1678167790.3985999,0,84
INTERNAL EVENT,1678167790.5656042,0,85
INTERNAL EVENT,1678167790.732599,0,86
INTERNAL EVENT,1678167790.8996391,0,87
SEND TO B,1678167791.066633,0,88
INTERNAL EVENT,1678167791.233598,0,89
INTERNAL EVENT,1678167792.2356238,0,95
INTERNAL EVENT,1678167792.402592,0,96
INTERNAL EVENT,1678167792.569602,0,97
INTERNAL EVENT,1678167792.736591,0,98
SEND TO A,1678167793.070646,0,100
SEND TO B,1678167793.070831,0,101
SEND TO B,1678167793.237634,0,102
INTERNAL EVENT,1678167793.404597,0,103
SEND TO A,1678167793.738691,0,105
SEND TO B,1678167793.738932,0,106
SEND TO A,1678167793.905658,0,107
SEND TO B,1678167793.9058292,0,108
SEND TO A,1678167794.072651,0,109
SEND TO B,1678167794.07284,0,110
SEND TO B,1678167794.2396271,0,111
INTERNAL EVENT,1678167794.406594,0,112
INTERNAL EVENT,1678167794.573622,0,113
INTERNAL EVENT,1678167794.740597,0,114
INTERNAL EVENT,1678167795.241594,0,117
INTERNAL EVENT,1678167795.4086,0,118
SEND TO B,1678167795.74266,0,120
SEND TO A,1678167795.9097269,0,121
SEND TO A,1678167796.076677,0,122
INTERNAL EVENT,1678167796.577701,0,125
INTERNAL EVENT,1678167796.744601,0,126
SEND TO A,1678167796.911695,0,127
SEND TO B,1678167796.9119098,0,128
INTERNAL EVENT,1678167797.0786161,0,129
INTERNAL EVENT,1678167797.245593,0,130
INTERNAL EVENT,1678167797.412599,0,131
INTERNAL EVENT,1678167797.579607,0,132
SEND TO B,1678167797.9136798,0,134
INTERNAL EVENT,1678167798.080607,0,135
SEND TO A,1678167798.247659,0,136
SEND TO A,1678167798.581704,0,138
SEND TO B,1678167798.5823019,0,139
SEND TO B,1678167798.748657,0,140
INTERNAL EVENT,1678167798.915607,0,141
INTERNAL EVENT,1678167799.082626,0,142
SEND TO A,1678167799.416637,0,144
SEND TO B,1678167799.424305,0,145
INTERNAL EVENT,1678167799.583633,0,146
INTERNAL EVENT,1678167799.7506151,0,147
SEND TO A,1678167799.917705,0,148
SEND TO B,1678167799.9178739,0,149
INTERNAL EVENT,1678167800.084737,0,150
INTERNAL EVENT,1678167800.251615,0,151
SEND TO B,1678167800.418647,0,152
INTERNAL EVENT,1678167800.590509,0,153
INTERNAL EVENT,1678167800.756597,0,154
INTERNAL EVENT,1678167800.923603,0,155
SEND TO A,1678167801.090683,0,156
SEND TO B,1678167801.090848,0,157
SEND TO A,1678167801.257674,0,158
INTERNAL EVENT,1678167801.591625,0,160
INTERNAL EVENT,1678167801.7585878,0,161
INTERNAL EVENT,1678167801.9256299,0,162
INTERNAL EVENT,1678167802.092603,0,163
INTERNAL EVENT,1678167802.259655,0,164
INTERNAL EVENT,1678167802.426605,0,165
SEND TO A,1678167802.593738,0,166
SEND TO B,1678167802.5939462,0,167
INTERNAL EVENT,1678167802.7606232,0,168
SEND TO A,1678167802.9276521,0,169
SEND TO B,1678167802.9278111,0,170
SEND TO A,1678167803.261685,0,172
SEND TO B,1678167803.261941,0,173
SEND TO A,1678167803.4286652,0,174
SEND TO B,1678167803.5957508,0,175
INTERNAL EVENT,1678167803.762645,0,176
SEND TO A,1678167803.929666,0,177
SEND TO B,1678167803.92985,0,178
INTERNAL EVENT,1678167804.096763,0,179
SEND TO A,1678167804.2637,0,180
SEND TO B,1678167804.264011,0,181
INTERNAL EVENT,1678167804.431309,0,182
INTERNAL EVENT,1678167804.764608,0,184
INTERNAL EVENT,1678167805.4326541,0,188
INTERNAL EVENT,1678167805.599645,0,189
INTERNAL EVENT,1678167805.7666152,0,190
SEND TO B,1678167805.933666,0,191
INTERNAL EVENT,1678167806.100697,0,192
INTERNAL EVENT,1678167806.267767,0,193
INTERNAL EVENT,1678167806.434703,0,194
SEND TO A,1678167806.601838,0,195
SEND TO B,1678167806.602114,0,196
SEND TO A,1678167806.768641,0,197
SEND TO B,1678167806.7687922,0,198
SEND TO A,1678167806.935634,0,199
SEND TO B,1678167806.935789,0,200
INTERNAL EVENT,1678167807.10262,0,201
INTERNAL EVENT,1678167807.2696269,0,202
INTERNAL EVENT,1678167807.603621,0,204
INTERNAL EVENT,1678167807.770848,0,205
INTERNAL EVENT,1678167807.937629,0,206
SEND TO A,1678167808.2716842,0,208
SEND TO A,1678167808.4386828,0,209
INTERNAL EVENT,1678167808.6056378,0,210
SEND TO A,1678167808.772685,0,211
SEND TO A,1678167808.939719,0,212
INTERNAL EVENT,1678167809.1066601,0,213
INTERNAL EVENT,1678167809.2736151,0,214
SEND TO A,1678167809.440661,0,215
INTERNAL EVENT,1678167809.607606,0,216
INTERNAL EVENT,1678167809.774623,0,217
INTERNAL EVENT,1678167809.941653,0,218
INTERNAL EVENT,1678167810.109636,0,219
INTERNAL EVENT,1678167810.2758,0,220
SEND TO B,1678167810.442667,0,221
INTERNAL EVENT,1678167810.609662,0,222
INTERNAL EVENT,1678167810.776635,0,223
INTERNAL EVENT,1678167811.110629,0,225
INTERNAL EVENT,1678167811.2776582,0,226
SEND TO A,1678167811.4446442,0,227
INTERNAL EVENT,1678167811.6116211,0,228
INTERNAL EVENT,1678167811.7786329,0,229
INTERNAL EVENT,1678167811.945747,0,230
SEND TO A,1678167812.112679,0,231
INTERNAL EVENT,1678167812.279596,0,232
INTERNAL EVENT,1678167812.613607,0,234
INTERNAL EVENT,1678167812.7806342,0,235
INTERNAL EVENT,1678167812.947774,0,236
INTERNAL EVENT,1678167813.114687,0,237
INTERNAL EVENT,1678167813.448765,0,239
SEND TO A,1678167813.6791282,0,240
INTERNAL EVENT,1678167813.845689,0,241
INTERNAL EVENT,1678167814.179592,0,243
INTERNAL EVENT,1678167814.521612,0,245
INTERNAL EVENT,1678167814.687586,0,246
INTERNAL EVENT,1678167814.8546948,0,247
INTERNAL EVENT,1678167815.021612,0,248
SEND TO B,1678167815.1886249,0,249
INTERNAL EVENT,1678167815.3556259,0,250
INTERNAL EVENT,1678167815.689578,0,252
INTERNAL EVENT,1678167815.856606,0,253
INTERNAL EVENT,1678167816.023615,0,254
SEND TO B,1678167816.357632,0,256
INTERNAL EVENT,1678167816.691574,0,258
SEND TO B,1678167816.858645,0,259
INTERNAL EVENT,1678167817.025665,0,260
INTERNAL EVENT,1678167817.1925938,0,261
INTERNAL EVENT,1678167817.693602,0,264
INTERNAL EVENT,1678167817.860598,0,265
INTERNAL EVENT,1678167818.027603,0,266
SEND TO A,1678167818.3659751,0,268
INTERNAL EVENT,1678167818.528623,0,269
SEND TO B,1678167818.695734,0,270
INTERNAL EVENT,1678167819.1973,0,273
SEND TO A,1678167819.697699,0,276
INTERNAL EVENT,1678167820.031889,0,278
INTERNAL EVENT,1678167820.365679,0,280
INTERNAL EVENT,1678167820.532635,0,281
INTERNAL EVENT,1678167820.6996322,0,282
INTERNAL EVENT,1678167820.866645,0,283
SEND TO A,1678167821.0337238,0,284
INTERNAL EVENT,1678167821.2008152,0,285
INTERNAL EVENT,1678167821.367651,0,286
INTERNAL EVENT,1678167821.534594,0,287
SEND TO A,1678167821.701749,0,288
SEND TO B,1678167822.035671,0,290
INTERNAL EVENT,1678167822.2026181,0,291
INTERNAL EVENT,1678167822.369681,0,292
INTERNAL EVENT,1678167822.536605,0,293
SEND TO B,1678167822.703677,0,294
SEND TO A,1678167822.870682,0,295
INTERNAL EVENT,1678167823.037612,0,296
INTERNAL EVENT,1678167823.2048588,0,297
INTERNAL EVENT,1678167823.3716621,0,298
SEND TO A,1678167823.5388439,0,299
INTERNAL EVENT,1678167823.705617,0,300
INTERNAL EVENT,1678167823.8726301,0,301
INTERNAL EVENT,1678167824.039598,0,302
INTERNAL EVENT,1678167824.206624,0,303
INTERNAL EVENT,1678167824.373666,0,304
INTERNAL EVENT,1678167824.5406048,0,305
SEND TO A,1678167824.707646,0,306
SEND TO A,1678167825.0416489,0,308
INTERNAL EVENT,1678167825.208589,0,309
INTERNAL EVENT,1678167825.375624,0,310
SEND TO A,1678167825.542655,0,311
SEND TO B,1678167825.5428329,0,312
SEND TO B,1678167825.876637,0,314
INTERNAL EVENT,1678167826.043593,0,315
INTERNAL EVENT,1678167826.3776152,0,317
INTERNAL EVENT,1678167826.5446,0,318
INTERNAL EVENT,1678167826.7116082,0,319
INTERNAL EVENT,1678167827.045741,0,321
INTERNAL EVENT,1678167827.212629,0,322
SEND TO A,1678167827.379637,0,323
SEND TO B,1678167827.379776,0,324
INTERNAL EVENT,1678167827.5466151,0,325
SEND TO B,1678167827.7136798,0,326
INTERNAL EVENT,1678167828.047609,0,328
INTERNAL EVENT,1678167828.2145972,0,329
INTERNAL EVENT,1678167828.548606,0,331
INTERNAL EVENT,1678167828.715617,0,332
INTERNAL EVENT,1678167828.8826041,0,333
