received,global time,len of queue,logical clock time
INTERNAL EVENT,1678167777.2055402,0,0
INTERNAL EVENT,1678167777.455598,0,1
SEND TO C,1678167777.957649,0,3
INTERNAL EVENT,1678167778.208576,0,4
INTERNAL EVENT,1678167778.4596102,0,5
SEND TO C,1678167778.961652,0,8
INTERNAL EVENT,1678167779.212611,0,9
SEND TO C,1678167779.463673,0,10
INTERNAL EVENT,1678167779.714606,0,11
INTERNAL EVENT,1678167780.2165928,0,16
INTERNAL EVENT,1678167781.2206001,0,23
INTERNAL EVENT,1678167781.471615,0,24
SEND TO B,1678167781.973664,0,29
SEND TO B,1678167782.224638,0,30
SEND TO C,1678167782.224809,0,31
INTERNAL EVENT,1678167782.47563,0,32
INTERNAL EVENT,1678167784.2326798,0,43
INTERNAL EVENT,1678167784.4836302,0,44
SEND TO B,1678167785.23663,0,49
SEND TO C,1678167785.236783,0,50
INTERNAL EVENT,1678167785.487604,0,51
INTERNAL EVENT,1678167785.738601,0,52
INTERNAL EVENT,1678167786.240586,0,55
INTERNAL EVENT,1678167786.491602,0,56
INTERNAL EVENT,1678167786.9936042,0,60
INTERNAL EVENT,1678167787.2446232,0,61
INTERNAL EVENT,1678167787.746608,0,65
INTERNAL EVENT,1678167788.499604,0,70
INTERNAL EVENT,1678167788.750595,0,71
INTERNAL EVENT,1678167789.0016158,0,72
SEND TO B,1678167789.252644,0,73
INTERNAL EVENT,1678167789.503604,0,74
INTERNAL EVENT,1678167789.754695,0,75
INTERNAL EVENT,1678167790.507639,0,83
SEND TO B,1678167790.758636,0,84
INTERNAL EVENT,1678167791.009616,0,85
SEND TO B,1678167791.260703,0,86
SEND TO C,1678167791.261087,0,87
INTERNAL EVENT,1678167791.511615,0,88
SEND TO B,1678167792.013639,0,92
SEND TO C,1678167792.013808,0,93
INTERNAL EVENT,1678167792.2646122,0,94
INTERNAL EVENT,1678167792.515612,0,95
INTERNAL EVENT,1678167792.766603,0,96
INTERNAL EVENT,1678167793.0221891,0,97
SEND TO C,1678167794.777676,0,110
SEND TO C,1678167795.028648,0,111
INTERNAL EVENT,1678167795.2795992,0,112
INTERNAL EVENT,1678167795.530619,0,113
INTERNAL EVENT,1678167795.7816682,0,114
INTERNAL EVENT,1678167797.287624,0,128
INTERNAL EVENT,1678167797.538605,0,129
INTERNAL EVENT,1678167797.789597,0,130
INTERNAL EVENT,1678167798.0407119,0,131
INTERNAL EVENT,1678167798.54289,0,137
INTERNAL EVENT,1678167799.04463,0,139
INTERNAL EVENT,1678167799.804818,0,145
INTERNAL EVENT,1678167800.306596,0,149
INTERNAL EVENT,1678167800.808599,0,151
INTERNAL EVENT,1678167801.0595992,0,152
INTERNAL EVENT,1678167802.063645,0,160
SEND TO B,1678167802.3146381,0,161
SEND TO C,1678167804.57371,0,181
INTERNAL EVENT,1678167804.824597,0,182
INTERNAL EVENT,1678167805.075635,0,183
