received,global time,len of queue,logical clock time
SEND TO A,1678167924.556826,0,0
SEND TO C,1678167924.557059,1,1
SEND TO C,1678167926.0626519,0,8
INTERNAL EVENT,1678167926.3135989,0,9
INTERNAL EVENT,1678167926.564586,1,10
SEND TO A,1678167928.321646,0,23
SEND TO C,1678167928.572692,0,24
SEND TO A,1678167928.8236291,0,25
SEND TO C,1678167929.074642,0,26
SEND TO A,1678167929.3256588,0,27
SEND TO C,1678167929.3257768,0,28
SEND TO A,1678167929.576635,0,29
SEND TO C,1678167929.576756,0,30
INTERNAL EVENT,1678167929.8276072,0,31
SEND TO A,1678167930.078641,0,32
SEND TO A,1678167930.329622,0,33
INTERNAL EVENT,1678167931.835707,0,42
SEND TO C,1678167932.086602,0,43
INTERNAL EVENT,1678167933.341728,0,51
INTERNAL EVENT,1678167933.592574,0,52
SEND TO A,1678167934.345728,0,56
INTERNAL EVENT,1678167934.596629,0,57
SEND TO A,1678167934.847636,0,58
SEND TO C,1678167934.847766,0,59
INTERNAL EVENT,1678167935.098586,0,60
SEND TO A,1678167935.600638,0,64
SEND TO C,1678167935.600768,0,65
SEND TO A,1678167936.3536692,0,69
SEND TO C,1678167936.353801,0,70
SEND TO A,1678167936.604657,0,71
SEND TO C,1678167936.6047769,0,72
SEND TO A,1678167936.8556402,0,73
SEND TO A,1678167937.106602,0,74
SEND TO C,1678167937.106715,0,75
SEND TO C,1678167937.357652,0,76
SEND TO C,1678167937.6085918,0,77
INTERNAL EVENT,1678167938.110662,0,80
SEND TO C,1678167939.365854,0,87
SEND TO A,1678167939.6166432,0,88
SEND TO C,1678167939.61676,0,89
SEND TO A,1678167940.1186152,0,92
SEND TO A,1678167941.122665,0,98
SEND TO C,1678167941.122807,0,99
SEND TO A,1678167941.3736808,0,100
SEND TO A,1678167942.126614,0,104
SEND TO C,1678167942.126813,0,105
SEND TO A,1678167942.377619,0,106
INTERNAL EVENT,1678167942.6286201,0,107
INTERNAL EVENT,1678167943.1306791,0,109
INTERNAL EVENT,1678167944.134753,0,115
SEND TO C,1678167944.385684,0,116
SEND TO A,1678167944.636636,0,117
SEND TO A,1678167944.887645,0,118
SEND TO A,1678167946.3936992,0,128
SEND TO C,1678167946.393892,0,129
SEND TO C,1678167946.644795,0,130
INTERNAL EVENT,1678167947.3976269,0,133
SEND TO C,1678167951.162922,0,155
INTERNAL EVENT,1678167951.413565,0,156
SEND TO A,1678167951.664761,0,157
SEND TO C,1678167951.664914,0,158
SEND TO A,1678167951.9156082,0,159
SEND TO A,1678167952.1667452,0,160
SEND TO A,1678167953.672655,0,170
INTERNAL EVENT,1678167954.425594,0,175
INTERNAL EVENT,1678167954.67659,0,176
INTERNAL EVENT,1678167955.4295769,0,182
SEND TO A,1678167955.680634,0,183
SEND TO C,1678167955.680771,0,184
INTERNAL EVENT,1678167955.931722,0,185
SEND TO A,1678167956.182675,0,186
SEND TO C,1678167956.182864,0,187
SEND TO A,1678167956.4336672,0,188
SEND TO C,1678167956.433829,0,189
SEND TO C,1678167956.684618,0,190
SEND TO A,1678167956.935613,0,191
SEND TO A,1678167957.1865962,0,192
SEND TO C,1678167957.1866891,0,193
SEND TO C,1678167957.437671,0,194
SEND TO C,1678167957.688589,0,195
INTERNAL EVENT,1678167958.190578,0,197
SEND TO C,1678167958.441588,0,198
INTERNAL EVENT,1678167958.692618,0,199
SEND TO C,1678167959.96541,0,207
SEND TO A,1678167960.198884,0,208
SEND TO A,1678167960.700788,0,211
SEND TO C,1678167960.951641,0,212
SEND TO A,1678167961.9556348,0,219
SEND TO C,1678167961.955769,0,220
SEND TO C,1678167962.457729,0,223
INTERNAL EVENT,1678167962.708672,0,224
INTERNAL EVENT,1678167962.969496,0,225
INTERNAL EVENT,1678167963.469732,0,228
SEND TO A,1678167963.97171,0,231
SEND TO A,1678167964.4736152,0,233
SEND TO C,1678167964.473751,0,234
SEND TO A,1678167964.724679,0,235
SEND TO A,1678167964.9756339,0,236
SEND TO C,1678167964.975777,0,237
INTERNAL EVENT,1678167965.22662,0,238
SEND TO C,1678167965.728628,0,240
SEND TO C,1678167965.97963,0,241
SEND TO C,1678167966.732671,0,246
SEND TO A,1678167966.9836218,0,247
SEND TO C,1678167966.983723,0,248
SEND TO C,1678167967.9876878,0,253
INTERNAL EVENT,1678167968.4896388,0,257
SEND TO A,1678167968.991615,0,259
SEND TO C,1678167968.991762,1,260
SEND TO A,1678167970.497659,0,269
SEND TO C,1678167970.497785,0,270
SEND TO C,1678167970.7486029,0,271
SEND TO A,1678167970.9995918,0,272
SEND TO C,1678167970.999735,0,273
SEND TO A,1678167972.003669,1,277
SEND TO A,1678167973.258656,0,285
SEND TO C,1678167975.015636,0,297
SEND TO A,1678167975.2666502,0,298
SEND TO C,1678167975.2667909,0,299
SEND TO C,1678167975.517648,0,300
SEND TO A,1678167975.768595,0,301
SEND TO C,1678167975.768703,0,302
INTERNAL EVENT,1678167976.0195682,0,303
SEND TO C,1678167976.772862,0,307
SEND TO A,1678167977.0236359,0,308
SEND TO A,1678167977.776716,0,313
SEND TO C,1678167977.776918,0,314
SEND TO A,1678167978.027662,0,315
SEND TO A,1678167979.031639,0,320
SEND TO C,1678167979.031778,0,321
SEND TO C,1678167979.282638,0,322
SEND TO C,1678167979.533598,0,323
SEND TO A,1678167979.7846348,0,324
INTERNAL EVENT,1678167980.0355682,0,325
INTERNAL EVENT,1678167980.286589,0,326
SEND TO A,1678167981.039681,0,333
SEND TO A,1678167981.290601,0,334
INTERNAL EVENT,1678167981.54159,0,335
SEND TO A,1678167981.792644,0,336
INTERNAL EVENT,1678167982.294624,0,340
SEND TO C,1678167984.3027048,0,355
SEND TO A,1678167984.553636,0,356
SEND TO C,1678167984.5537841,0,357
