received,global time,len of queue,logical clock time
SEND TO B,1678167924.758712,0,2
SEND TO A,1678167924.959635,0,3
SEND TO B,1678167925.160634,0,4
SEND TO A,1678167925.361648,0,5
SEND TO B,1678167925.361778,0,6
SEND TO B,1678167925.562646,0,7
INTERNAL EVENT,1678167925.763615,0,8
INTERNAL EVENT,1678167926.3665762,0,11
SEND TO B,1678167926.567585,0,12
INTERNAL EVENT,1678167926.768629,0,13
SEND TO A,1678167927.170623,0,15
SEND TO B,1678167927.170743,0,16
SEND TO A,1678167927.3716228,0,17
SEND TO B,1678167927.371742,0,18
SEND TO B,1678167927.572617,0,19
SEND TO A,1678167927.7736251,0,20
SEND TO A,1678167927.974608,0,21
SEND TO B,1678167927.974729,0,22
INTERNAL EVENT,1678167928.175584,0,23
INTERNAL EVENT,1678167928.3765771,0,24
INTERNAL EVENT,1678167928.577676,1,25
INTERNAL EVENT,1678167928.979617,0,27
SEND TO A,1678167929.582747,1,30
INTERNAL EVENT,1678167929.9846022,0,32
INTERNAL EVENT,1678167930.185579,0,33
SEND TO B,1678167930.386615,0,34
SEND TO A,1678167930.593011,0,35
SEND TO B,1678167930.792657,0,36
SEND TO B,1678167930.993649,0,37
SEND TO A,1678167931.194659,0,38
SEND TO B,1678167931.1948009,0,39
SEND TO A,1678167931.395652,0,40
SEND TO B,1678167931.3957918,0,41
INTERNAL EVENT,1678167931.596574,0,42
INTERNAL EVENT,1678167931.797585,0,43
INTERNAL EVENT,1678167931.9985468,0,44
SEND TO A,1678167932.400597,0,46
SEND TO B,1678167932.400681,0,47
SEND TO B,1678167932.601726,0,48
SEND TO A,1678167932.802602,0,49
SEND TO B,1678167932.8027048,0,50
INTERNAL EVENT,1678167933.003652,0,51
INTERNAL EVENT,1678167933.204664,0,52
INTERNAL EVENT,1678167933.4056199,0,53
SEND TO B,1678167933.6066382,0,54
INTERNAL EVENT,1678167933.807667,0,55
INTERNAL EVENT,1678167934.209816,0,57
INTERNAL EVENT,1678167934.4105852,0,58
INTERNAL EVENT,1678167934.611588,0,59
INTERNAL EVENT,1678167934.812629,0,60
SEND TO A,1678167935.214632,0,62
SEND TO B,1678167935.214731,0,63
INTERNAL EVENT,1678167935.415566,0,64
SEND TO A,1678167935.817625,0,66
SEND TO B,1678167935.8177788,0,67
SEND TO B,1678167936.018639,0,68
SEND TO A,1678167936.219659,0,69
INTERNAL EVENT,1678167936.822627,0,73
SEND TO A,1678167937.0236092,0,74
SEND TO A,1678167937.827693,0,78
SEND TO B,1678167937.827869,0,79
SEND TO A,1678167938.028621,0,80
SEND TO B,1678167938.229663,0,81
SEND TO A,1678167938.4306822,0,82
SEND TO B,1678167938.430876,0,83
SEND TO B,1678167938.631978,0,84
SEND TO A,1678167938.832682,0,85
SEND TO B,1678167938.832844,0,86
SEND TO A,1678167939.033634,0,87
INTERNAL EVENT,1678167939.234605,0,88
SEND TO B,1678167939.8376389,0,91
SEND TO A,1678167940.038661,0,92
SEND TO B,1678167940.239579,0,93
SEND TO A,1678167940.440644,0,94
SEND TO B,1678167940.440792,0,95
SEND TO A,1678167940.641654,0,96
SEND TO B,1678167940.842607,0,97
INTERNAL EVENT,1678167941.043604,0,98
SEND TO A,1678167941.4456398,0,100
SEND TO B,1678167941.4457679,0,101
INTERNAL EVENT,1678167941.646572,0,102
SEND TO B,1678167941.847595,0,103
SEND TO A,1678167942.048588,0,104
INTERNAL EVENT,1678167942.450589,0,106
INTERNAL EVENT,1678167942.651586,0,107
SEND TO B,1678167942.852679,0,108
INTERNAL EVENT,1678167943.0536242,0,109
SEND TO B,1678167943.2549691,0,110
SEND TO B,1678167943.455713,0,111
INTERNAL EVENT,1678167943.656694,0,112
SEND TO A,1678167943.857698,0,113
SEND TO B,1678167943.857907,0,114
INTERNAL EVENT,1678167944.058636,0,115
SEND TO A,1678167944.2596722,0,116
SEND TO A,1678167944.661678,0,118
SEND TO A,1678167944.862655,0,119
SEND TO A,1678167945.063648,0,120
SEND TO B,1678167945.063812,0,121
SEND TO B,1678167945.2647989,0,122
SEND TO A,1678167945.4656901,0,123
SEND TO B,1678167945.465874,0,124
SEND TO B,1678167945.666656,0,125
INTERNAL EVENT,1678167945.8676102,0,126
SEND TO B,1678167946.0686579,0,127
INTERNAL EVENT,1678167946.2696052,0,128
SEND TO B,1678167946.872737,0,131
SEND TO B,1678167947.0736718,0,132
SEND TO A,1678167947.2746801,0,133
SEND TO A,1678167947.475659,0,134
SEND TO B,1678167947.475822,0,135
