received,global time,len of queue,logical clock time
SEND TO B,1678167924.556931,1,0
SEND TO C,1678167925.892652,0,6
INTERNAL EVENT,1678167926.226621,0,7
SEND TO B,1678167926.560638,0,8
SEND TO C,1678167926.89461,0,9
INTERNAL EVENT,1678167929.234659,0,26
SEND TO B,1678167932.248787,0,41
INTERNAL EVENT,1678167933.250772,0,50
INTERNAL EVENT,1678167933.584626,0,51
SEND TO B,1678167933.918682,0,52
SEND TO C,1678167933.918806,0,53
INTERNAL EVENT,1678167934.2526212,0,54
INTERNAL EVENT,1678167935.588615,0,63
INTERNAL EVENT,1678167944.612931,0,117
SEND TO B,1678167948.6178071,0,140
INTERNAL EVENT,1678167948.95163,0,141
SEND TO C,1678167949.285608,0,142
SEND TO B,1678167949.619599,0,143
SEND TO B,1678167949.953679,0,144
INTERNAL EVENT,1678167950.955603,0,153
SEND TO C,1678167951.2896059,0,154
INTERNAL EVENT,1678167951.623693,0,155
SEND TO C,1678167968.658066,0,256
SEND TO B,1678167968.991692,0,257
SEND TO B,1678167969.659633,0,260
SEND TO B,1678167971.663677,0,273
SEND TO C,1678167971.663826,0,274
SEND TO B,1678167971.9976408,0,275
SEND TO C,1678167971.997783,0,276
INTERNAL EVENT,1678167974.335626,0,290
INTERNAL EVENT,1678167977.0080361,0,306
