received,global time,len of queue,logical clock time
SEND TO A,1678252831.9612238,0,0
POP FROM QUEUE,1678252832.962373,0,2
SEND TO B,1678252833.962869,0,2
SEND TO A,1678252834.9642482,0,3
INTERNAL EVENT,1678252835.965098,0,4
INTERNAL EVENT,1678252836.965653,0,5
SEND TO A,1678252837.9672189,0,6
POP FROM QUEUE,1678252838.967762,0,8
POP FROM QUEUE,1678252839.968815,0,10
SEND TO A,1678252840.9747672,0,10
SEND TO B,1678252840.975332,0,11
POP FROM QUEUE,1678252841.9713962,0,13
SEND TO A,1678252842.9966311,0,13
SEND TO B,1678252842.996966,0,14
SEND TO A,1678252843.973557,0,15
SEND TO B,1678252843.973845,0,16
SEND TO A,1678252844.974256,0,17
SEND TO B,1678252845.976614,0,18
POP FROM QUEUE,1678252846.975721,0,20
INTERNAL EVENT,1678252847.976749,0,20
INTERNAL EVENT,1678252848.977705,0,21
POP FROM QUEUE,1678252849.979143,0,23
SEND TO A,1678252850.9799948,0,23
POP FROM QUEUE,1678252851.981685,0,25
INTERNAL EVENT,1678252852.981739,0,25
SEND TO A,1678252853.983177,0,26
INTERNAL EVENT,1678252854.983676,0,27
SEND TO B,1678252855.9848928,1,28
POP FROM QUEUE,1678252857.002997,1,30
POP FROM QUEUE,1678252857.987777,0,31
SEND TO B,1678252858.988875,0,31
POP FROM QUEUE,1678252859.9893172,0,33
SEND TO A,1678252860.993333,0,33
SEND TO B,1678252860.9980779,0,34
SEND TO A,1678252861.99105,0,35
INTERNAL EVENT,1678252862.991791,0,36
SEND TO A,1678252864.00309,0,37
SEND TO B,1678252864.00467,0,38
POP FROM QUEUE,1678252865.010078,1,40
POP FROM QUEUE,1678252866.039903,1,41
POP FROM QUEUE,1678252866.996662,0,42
INTERNAL EVENT,1678252868.016459,0,42
INTERNAL EVENT,1678252868.999864,0,43
POP FROM QUEUE,1678252870.015979,0,45
SEND TO B,1678252871.021431,0,45
POP FROM QUEUE,1678252872.00559,0,47
INTERNAL EVENT,1678252873.011168,0,47
SEND TO B,1678252874.0082822,0,48
INTERNAL EVENT,1678252875.0197928,0,49
SEND TO A,1678252876.0091121,0,50
SEND TO A,1678252877.011084,0,51
SEND TO B,1678252877.0115168,0,52
SEND TO A,1678252878.0101602,0,53
SEND TO B,1678252878.011034,0,54
SEND TO A,1678252879.0106618,0,55
INTERNAL EVENT,1678252880.0116942,0,56
SEND TO B,1678252881.013568,0,57
INTERNAL EVENT,1678252882.013898,0,58
POP FROM QUEUE,1678252883.014666,0,60
POP FROM QUEUE,1678252884.0157921,0,62
POP FROM QUEUE,1678252885.016704,0,63
SEND TO A,1678252886.0178041,0,63
SEND TO B,1678252887.019356,0,64
SEND TO A,1678252888.0197692,0,65
SEND TO B,1678252888.019995,0,66
SEND TO B,1678252889.020973,0,67
SEND TO A,1678252890.021755,0,68
SEND TO B,1678252890.022035,0,69
SEND TO A,1678252891.0228102,0,70
SEND TO B,1678252891.023335,0,71
