received,global time,len of queue,logical clock time
SEND TO A,1678252831.960991,0,0
SEND TO A,1678252832.962262,0,1
INTERNAL EVENT,1678252833.9627771,0,2
POP FROM QUEUE,1678252834.964318,0,4
SEND TO A,1678252835.966034,0,4
SEND TO A,1678252836.965649,0,5
SEND TO A,1678252837.967241,0,6
SEND TO C,1678252837.967432,0,7
SEND TO A,1678252838.9677749,0,8
SEND TO C,1678252838.9680011,0,9
INTERNAL EVENT,1678252839.968816,0,10
SEND TO A,1678252840.999108,1,11
SEND TO C,1678252841.0107589,1,12
POP FROM QUEUE,1678252841.9714,0,14
INTERNAL EVENT,1678252842.974305,0,14
POP FROM QUEUE,1678252843.9767182,0,16
POP FROM QUEUE,1678252844.9741719,0,17
SEND TO C,1678252845.97616,0,17
POP FROM QUEUE,1678252846.975876,1,19
POP FROM QUEUE,1678252847.976751,0,20
SEND TO A,1678252848.977782,0,20
INTERNAL EVENT,1678252849.978657,0,21
SEND TO A,1678252850.979983,0,22
SEND TO C,1678252850.980247,0,23
INTERNAL EVENT,1678252851.981785,0,24
INTERNAL EVENT,1678252852.981757,0,25
INTERNAL EVENT,1678252853.982913,0,26
POP FROM QUEUE,1678252854.98369,0,28
SEND TO C,1678252855.985099,2,28
POP FROM QUEUE,1678252857.0041978,1,30
POP FROM QUEUE,1678252857.987743,0,31
POP FROM QUEUE,1678252858.989999,2,32
POP FROM QUEUE,1678252859.99125,1,33
POP FROM QUEUE,1678252860.9954848,0,34
POP FROM QUEUE,1678252861.991936,1,35
POP FROM QUEUE,1678252862.992863,0,36
SEND TO C,1678252864.0031328,0,36
POP FROM QUEUE,1678252865.010423,1,39
POP FROM QUEUE,1678252866.0162508,0,40
INTERNAL EVENT,1678252866.999914,0,40
INTERNAL EVENT,1678252868.0129018,0,41
SEND TO A,1678252869.0006888,0,42
SEND TO C,1678252869.001394,0,43
INTERNAL EVENT,1678252870.015369,0,44
INTERNAL EVENT,1678252871.025604,0,45
POP FROM QUEUE,1678252872.0058959,1,47
POP FROM QUEUE,1678252873.016932,0,48
INTERNAL EVENT,1678252874.007904,0,48
POP FROM QUEUE,1678252875.013246,1,50
POP FROM QUEUE,1678252876.00875,1,51
POP FROM QUEUE,1678252877.0093691,0,52
POP FROM QUEUE,1678252878.009957,0,53
POP FROM QUEUE,1678252879.010665,0,55
SEND TO A,1678252880.012052,0,55
INTERNAL EVENT,1678252881.013362,0,56
POP FROM QUEUE,1678252882.013738,0,58
POP FROM QUEUE,1678252883.0147042,0,59
POP FROM QUEUE,1678252884.015816,0,61
SEND TO A,1678252885.0168839,0,61
INTERNAL EVENT,1678252886.017758,0,62
SEND TO A,1678252887.019485,1,63
POP FROM QUEUE,1678252888.020194,0,65
POP FROM QUEUE,1678252889.0212328,1,67
POP FROM QUEUE,1678252890.021814,1,68
POP FROM QUEUE,1678252891.033684,2,69
