received,global time,len of queue,logical clock time
INTERNAL EVENT,1678167024.49561,0,0
INTERNAL EVENT,1678167024.9976141,0,2
INTERNAL EVENT,1678167025.248613,0,3
SEND TO C,1678167025.499669,0,4
INTERNAL EVENT,1678167025.7506611,0,5
INTERNAL EVENT,1678167026.001614,0,6
INTERNAL EVENT,1678167026.503624,1,8
INTERNAL EVENT,1678167027.0055869,0,10
INTERNAL EVENT,1678167027.2565792,0,11
INTERNAL EVENT,1678167027.507544,0,12
INTERNAL EVENT,1678167027.758548,0,13
SEND TO A,1678167028.009612,0,14
SEND TO A,1678167028.260819,0,15
SEND TO A,1678167028.511761,0,16
INTERNAL EVENT,1678167028.76257,0,17
INTERNAL EVENT,1678167029.013609,0,18
INTERNAL EVENT,1678167029.515573,0,24
INTERNAL EVENT,1678167029.76671,0,25
INTERNAL EVENT,1678167030.017652,0,26
SEND TO C,1678167030.5197299,0,29
INTERNAL EVENT,1678167030.7706938,0,30
INTERNAL EVENT,1678167031.272606,0,32
INTERNAL EVENT,1678167031.77459,0,34
INTERNAL EVENT,1678167032.0257778,0,35
INTERNAL EVENT,1678167032.276782,0,36
INTERNAL EVENT,1678167033.0296462,0,42
SEND TO C,1678167033.782825,0,47
INTERNAL EVENT,1678167034.0338109,0,48
SEND TO C,1678167034.28475,0,49
SEND TO A,1678167034.5357099,0,50
INTERNAL EVENT,1678167034.7866611,0,51
INTERNAL EVENT,1678167035.037591,0,52
INTERNAL EVENT,1678167035.790658,0,55
INTERNAL EVENT,1678167036.041611,0,56
INTERNAL EVENT,1678167036.2926478,0,57
INTERNAL EVENT,1678167036.794611,0,63
INTERNAL EVENT,1678167037.045613,0,64
SEND TO A,1678167037.2966368,0,65
INTERNAL EVENT,1678167037.547623,0,66
SEND TO A,1678167037.798635,0,67
INTERNAL EVENT,1678167038.300638,0,72
INTERNAL EVENT,1678167038.551587,0,73
INTERNAL EVENT,1678167038.8026218,0,74
SEND TO A,1678167039.555719,0,77
SEND TO C,1678167039.5559108,0,78
SEND TO A,1678167039.806659,0,79
INTERNAL EVENT,1678167040.057618,0,80
INTERNAL EVENT,1678167040.5596,0,83
INTERNAL EVENT,1678167040.810582,0,84
SEND TO A,1678167041.061632,0,85
INTERNAL EVENT,1678167041.312669,0,86
INTERNAL EVENT,1678167042.3166149,0,92
SEND TO C,1678167042.56763,0,93
INTERNAL EVENT,1678167042.818621,0,94
INTERNAL EVENT,1678167043.0695622,0,95
INTERNAL EVENT,1678167043.571573,0,99
SEND TO A,1678167044.073642,0,101
INTERNAL EVENT,1678167044.324616,0,102
INTERNAL EVENT,1678167044.575619,0,103
INTERNAL EVENT,1678167044.826581,0,104
INTERNAL EVENT,1678167045.0776,0,105
INTERNAL EVENT,1678167045.3286211,0,106
INTERNAL EVENT,1678167045.579702,0,107
SEND TO A,1678167045.830622,0,108
SEND TO C,1678167045.8307252,0,109
INTERNAL EVENT,1678167046.08158,0,110
INTERNAL EVENT,1678167047.085601,0,120
INTERNAL EVENT,1678167047.3365738,0,121
SEND TO A,1678167047.587605,0,122
INTERNAL EVENT,1678167048.3406951,0,125
INTERNAL EVENT,1678167049.093607,0,131
SEND TO C,1678167049.344609,0,132
INTERNAL EVENT,1678167049.595567,0,133
INTERNAL EVENT,1678167049.846569,0,134
SEND TO A,1678167050.348641,0,136
INTERNAL EVENT,1678167050.850603,0,139
SEND TO A,1678167051.1016908,0,140
INTERNAL EVENT,1678167051.353014,0,141
SEND TO C,1678167051.603691,0,142
INTERNAL EVENT,1678167051.8545952,0,143
SEND TO A,1678167052.3566542,0,145
INTERNAL EVENT,1678167052.6076312,0,146
INTERNAL EVENT,1678167052.858594,0,147
INTERNAL EVENT,1678167053.109596,0,148
INTERNAL EVENT,1678167053.6115992,0,150
SEND TO C,1678167053.862624,0,151
SEND TO A,1678167054.1136482,0,152
SEND TO C,1678167054.113812,0,153
INTERNAL EVENT,1678167054.3646002,0,154
INTERNAL EVENT,1678167054.6156092,0,155
INTERNAL EVENT,1678167055.117577,0,161
INTERNAL EVENT,1678167055.368604,0,162
INTERNAL EVENT,1678167055.619568,0,163
INTERNAL EVENT,1678167055.870573,0,164
INTERNAL EVENT,1678167056.121551,0,165
INTERNAL EVENT,1678167056.3725948,0,166
SEND TO A,1678167056.874655,0,171
SEND TO A,1678167057.6276858,0,176
SEND TO C,1678167057.627847,0,177
INTERNAL EVENT,1678167057.8785868,0,178
INTERNAL EVENT,1678167058.1295922,0,179
INTERNAL EVENT,1678167058.380618,0,180
INTERNAL EVENT,1678167058.6316879,0,181
INTERNAL EVENT,1678167058.882596,0,182
INTERNAL EVENT,1678167059.133664,0,183
INTERNAL EVENT,1678167059.384591,0,184
INTERNAL EVENT,1678167059.886681,0,186
SEND TO A,1678167060.137629,0,187
SEND TO C,1678167060.1377459,0,188
INTERNAL EVENT,1678167060.38863,0,189
INTERNAL EVENT,1678167060.890665,1,193
INTERNAL EVENT,1678167061.894589,0,198
INTERNAL EVENT,1678167062.145561,0,199
SEND TO A,1678167062.396665,0,200
INTERNAL EVENT,1678167062.647561,0,201
SEND TO A,1678167062.898689,1,202
SEND TO C,1678167063.400627,0,205
INTERNAL EVENT,1678167063.902592,0,207
SEND TO A,1678167064.9066648,0,213
SEND TO C,1678167064.9067898,0,214
INTERNAL EVENT,1678167065.157612,0,215
SEND TO C,1678167065.408604,0,216
SEND TO A,1678167065.6597471,0,217
SEND TO C,1678167065.6599061,0,218
INTERNAL EVENT,1678167065.910657,0,219
SEND TO C,1678167066.161655,0,220
INTERNAL EVENT,1678167066.41261,0,221
SEND TO C,1678167066.66362,0,222
INTERNAL EVENT,1678167066.9146082,0,223
INTERNAL EVENT,1678167067.667586,0,226
SEND TO A,1678167068.169641,0,231
SEND TO C,1678167068.169756,0,232
SEND TO A,1678167068.420609,0,233
INTERNAL EVENT,1678167068.922621,0,235
INTERNAL EVENT,1678167069.6755872,0,240
INTERNAL EVENT,1678167069.926613,0,241
INTERNAL EVENT,1678167070.1775732,0,242
SEND TO A,1678167070.428674,0,243
SEND TO C,1678167070.428811,0,244
INTERNAL EVENT,1678167070.679571,0,245
INTERNAL EVENT,1678167070.9305542,0,246
INTERNAL EVENT,1678167071.181555,0,247
INTERNAL EVENT,1678167071.4326558,0,248
INTERNAL EVENT,1678167071.683562,0,249
INTERNAL EVENT,1678167071.9345531,0,250
INTERNAL EVENT,1678167072.436586,0,253
SEND TO C,1678167072.687603,0,254
INTERNAL EVENT,1678167072.938551,0,255
SEND TO A,1678167073.18961,0,256
SEND TO C,1678167073.1897469,0,257
INTERNAL EVENT,1678167073.4406002,0,258
INTERNAL EVENT,1678167073.691707,0,259
SEND TO C,1678167073.942642,0,260
INTERNAL EVENT,1678167074.193631,0,261
INTERNAL EVENT,1678167074.444611,0,262
INTERNAL EVENT,1678167074.695555,0,263
INTERNAL EVENT,1678167074.946561,0,264
INTERNAL EVENT,1678167075.197543,0,265
INTERNAL EVENT,1678167075.6996,0,267
INTERNAL EVENT,1678167075.950567,0,268
INTERNAL EVENT,1678167076.201605,0,269
SEND TO A,1678167076.704175,0,276
INTERNAL EVENT,1678167077.456641,0,280
INTERNAL EVENT,1678167077.7075572,0,281
SEND TO A,1678167078.209631,0,285
SEND TO C,1678167078.209743,0,286
SEND TO A,1678167078.460664,0,287
INTERNAL EVENT,1678167078.7115781,0,288
INTERNAL EVENT,1678167078.962564,0,289
INTERNAL EVENT,1678167079.21356,0,290
INTERNAL EVENT,1678167079.469137,0,291
INTERNAL EVENT,1678167079.7156632,0,292
SEND TO A,1678167080.4687638,0,297
SEND TO C,1678167080.4689212,0,298
INTERNAL EVENT,1678167080.719635,0,299
INTERNAL EVENT,1678167080.970599,0,300
SEND TO A,1678167081.221625,0,301
SEND TO C,1678167081.221725,0,302
INTERNAL EVENT,1678167081.472654,0,303
INTERNAL EVENT,1678167081.97459,0,305
INTERNAL EVENT,1678167083.229613,0,312
SEND TO A,1678167083.4808269,0,313
SEND TO C,1678167083.481011,0,314
INTERNAL EVENT,1678167083.733098,0,315
INTERNAL EVENT,1678167083.982701,0,316
INTERNAL EVENT,1678167084.484698,0,318
