received,global time,len of queue,logical clock time
SEND TO B,1678167024.4957209,0,0
SEND TO C,1678167024.495879,0,1
INTERNAL EVENT,1678167024.829609,0,2
INTERNAL EVENT,1678167025.163583,0,3
INTERNAL EVENT,1678167025.4976199,0,4
INTERNAL EVENT,1678167025.831587,0,5
SEND TO B,1678167026.16565,0,6
SEND TO C,1678167026.16582,0,7
SEND TO B,1678167026.499671,0,8
INTERNAL EVENT,1678167026.8336709,0,9
INTERNAL EVENT,1678167027.1676018,0,10
INTERNAL EVENT,1678167027.501559,0,11
INTERNAL EVENT,1678167027.835579,0,12
INTERNAL EVENT,1678167029.5057259,0,22
INTERNAL EVENT,1678167029.83977,0,23
INTERNAL EVENT,1678167030.507923,0,28
SEND TO B,1678167030.841792,0,29
SEND TO C,1678167031.175621,0,30
SEND TO B,1678167031.5096781,0,31
INTERNAL EVENT,1678167031.8435998,0,32
INTERNAL EVENT,1678167032.18221,0,33
INTERNAL EVENT,1678167032.8523672,0,40
SEND TO B,1678167033.183851,0,41
SEND TO C,1678167034.193769,0,49
SEND TO C,1678167034.527741,0,50
SEND TO B,1678167035.195643,0,52
SEND TO C,1678167035.19579,0,53
SEND TO B,1678167035.529679,0,54
SEND TO C,1678167035.529859,0,55
SEND TO C,1678167036.865663,0,62
INTERNAL EVENT,1678167037.199589,0,63
INTERNAL EVENT,1678167038.5356748,0,71
SEND TO B,1678167038.869749,0,72
INTERNAL EVENT,1678167039.203594,0,73
INTERNAL EVENT,1678167040.873613,0,82
SEND TO B,1678167041.541667,0,86
INTERNAL EVENT,1678167041.875604,0,87
INTERNAL EVENT,1678167042.209624,0,88
INTERNAL EVENT,1678167042.543591,0,89
INTERNAL EVENT,1678167042.8776052,0,90
INTERNAL EVENT,1678167043.545602,0,98
SEND TO C,1678167043.879599,0,99
INTERNAL EVENT,1678167044.547637,0,102
INTERNAL EVENT,1678167044.881556,0,103
INTERNAL EVENT,1678167045.2155771,0,104
INTERNAL EVENT,1678167046.21761,1,111
INTERNAL EVENT,1678167047.553621,0,119
INTERNAL EVENT,1678167048.2224069,0,123
INTERNAL EVENT,1678167049.223669,0,130
INTERNAL EVENT,1678167049.557607,0,131
SEND TO B,1678167049.891667,0,132
SEND TO C,1678167049.891799,0,133
INTERNAL EVENT,1678167050.2255669,0,134
SEND TO B,1678167051.8956711,0,143
INTERNAL EVENT,1678167052.2299058,0,144
SEND TO B,1678167053.231647,0,149
INTERNAL EVENT,1678167053.5656152,0,150
INTERNAL EVENT,1678167053.899582,0,151
INTERNAL EVENT,1678167055.235595,0,160
INTERNAL EVENT,1678167055.5695791,0,161
INTERNAL EVENT,1678167055.9035819,0,162
INTERNAL EVENT,1678167056.2375538,0,163
INTERNAL EVENT,1678167058.575716,0,177
INTERNAL EVENT,1678167059.243596,0,183
SEND TO B,1678167059.577767,0,184
INTERNAL EVENT,1678167060.914895,0,192
SEND TO B,1678167061.247673,0,193
SEND TO C,1678167061.247831,0,194
INTERNAL EVENT,1678167061.5816178,0,195
INTERNAL EVENT,1678167061.915603,0,196
INTERNAL EVENT,1678167062.249569,0,197
SEND TO B,1678167063.585662,0,206
SEND TO B,1678167063.919612,0,207
INTERNAL EVENT,1678167064.2536058,0,208
INTERNAL EVENT,1678167065.589661,0,216
INTERNAL EVENT,1678167066.257628,0,218
INTERNAL EVENT,1678167066.5916789,0,219
SEND TO B,1678167066.925648,0,220
SEND TO B,1678167067.25964,0,221
INTERNAL EVENT,1678167067.5936341,0,222
INTERNAL EVENT,1678167068.929618,0,234
INTERNAL EVENT,1678167069.263604,0,235
INTERNAL EVENT,1678167070.265606,0,242
INTERNAL EVENT,1678167070.9336,0,244
SEND TO C,1678167071.2676091,0,245
INTERNAL EVENT,1678167071.601579,0,246
SEND TO C,1678167071.9356182,0,247
INTERNAL EVENT,1678167072.2696042,0,248
INTERNAL EVENT,1678167072.93761,0,255
INTERNAL EVENT,1678167073.60558,0,257
INTERNAL EVENT,1678167073.939677,0,258
INTERNAL EVENT,1678167074.273621,0,259
INTERNAL EVENT,1678167074.607578,0,260
INTERNAL EVENT,1678167074.9416242,0,261
SEND TO B,1678167075.2755919,0,262
SEND TO C,1678167075.2756639,0,263
INTERNAL EVENT,1678167075.609637,0,264
INTERNAL EVENT,1678167075.943566,0,265
INTERNAL EVENT,1678167076.277622,0,266
INTERNAL EVENT,1678167077.616891,0,279
INTERNAL EVENT,1678167079.286687,0,289
INTERNAL EVENT,1678167079.620748,0,290
SEND TO B,1678167079.95487,0,291
SEND TO C,1678167079.955046,0,292
INTERNAL EVENT,1678167080.288624,0,293
INTERNAL EVENT,1678167080.9567502,0,298
SEND TO B,1678167081.624697,0,302
SEND TO C,1678167081.625368,0,303
INTERNAL EVENT,1678167081.958581,0,304
INTERNAL EVENT,1678167082.292633,0,305
INTERNAL EVENT,1678167083.2946272,0,311
INTERNAL EVENT,1678167083.9652622,0,314
INTERNAL EVENT,1678167084.2967098,0,315
