received,global time,len of queue,logical clock time
INTERNAL EVENT,1678167024.495728,0,0
INTERNAL EVENT,1678167024.897598,0,2
INTERNAL EVENT,1678167025.098617,0,3
INTERNAL EVENT,1678167025.299587,0,4
INTERNAL EVENT,1678167025.500661,1,5
INTERNAL EVENT,1678167025.902612,0,7
INTERNAL EVENT,1678167026.1035929,0,8
INTERNAL EVENT,1678167026.505588,0,10
INTERNAL EVENT,1678167026.7066822,0,11
INTERNAL EVENT,1678167026.9076,0,12
INTERNAL EVENT,1678167027.108577,0,13
INTERNAL EVENT,1678167027.309571,0,14
INTERNAL EVENT,1678167027.510547,0,15
INTERNAL EVENT,1678167027.7116091,0,16
INTERNAL EVENT,1678167027.912551,0,17
INTERNAL EVENT,1678167028.113555,0,18
INTERNAL EVENT,1678167028.314718,0,19
INTERNAL EVENT,1678167028.515611,0,20
SEND TO A,1678167028.716746,0,21
INTERNAL EVENT,1678167028.917614,0,22
SEND TO B,1678167029.118648,0,23
INTERNAL EVENT,1678167029.31961,0,24
INTERNAL EVENT,1678167029.5205781,0,25
INTERNAL EVENT,1678167029.7216141,0,26
SEND TO A,1678167029.922704,0,27
SEND TO B,1678167030.12372,0,28
INTERNAL EVENT,1678167030.324687,0,29
INTERNAL EVENT,1678167030.525621,0,30
INTERNAL EVENT,1678167030.9276228,0,32
INTERNAL EVENT,1678167031.128588,0,33
INTERNAL EVENT,1678167031.530626,0,35
INTERNAL EVENT,1678167031.731578,0,36
INTERNAL EVENT,1678167031.9325519,0,37
INTERNAL EVENT,1678167032.135773,0,38
SEND TO A,1678167032.335698,0,39
SEND TO B,1678167032.335849,0,40
SEND TO B,1678167032.5366368,0,41
INTERNAL EVENT,1678167032.737611,0,42
INTERNAL EVENT,1678167032.942831,0,43
INTERNAL EVENT,1678167033.1482072,0,44
SEND TO A,1678167033.3488588,0,45
SEND TO B,1678167033.352103,0,46
INTERNAL EVENT,1678167033.549727,0,47
SEND TO A,1678167033.750921,0,48
INTERNAL EVENT,1678167034.152729,0,50
INTERNAL EVENT,1678167034.956654,0,54
INTERNAL EVENT,1678167035.1576269,0,55
SEND TO A,1678167035.760711,0,58
SEND TO A,1678167035.961631,0,59
INTERNAL EVENT,1678167036.1626408,0,60
SEND TO A,1678167036.363682,0,61
SEND TO B,1678167036.363861,0,62
INTERNAL EVENT,1678167036.564644,0,63
INTERNAL EVENT,1678167036.765625,0,64
INTERNAL EVENT,1678167037.167596,0,66
INTERNAL EVENT,1678167037.3686001,0,67
