received,global time,len of queue,logical clock time
INTERNAL EVENT,1678171009.7644968,0,0
INTERNAL EVENT,1678171010.097631,0,1
SEND TO B,1678171010.4316769,0,2
SEND TO B,1678171010.765641,0,3
SEND TO C,1678171010.765854,0,4
INTERNAL EVENT,1678171011.4336472,0,7
SEND TO B,1678171011.767675,0,8
INTERNAL EVENT,1678171012.101622,0,9
INTERNAL EVENT,1678171013.103644,0,18
INTERNAL EVENT,1678171014.105624,0,26
INTERNAL EVENT,1678171014.4396422,0,27
INTERNAL EVENT,1678171014.7736251,0,28
SEND TO B,1678171015.1076639,0,29
INTERNAL EVENT,1678171015.441642,0,30
INTERNAL EVENT,1678171016.1096199,0,38
INTERNAL EVENT,1678171016.7816541,0,43
SEND TO B,1678171017.115728,0,44
SEND TO B,1678171017.449704,0,45
SEND TO C,1678171017.449898,0,46
INTERNAL EVENT,1678171018.117611,0,52
