received,global time,len of queue,logical clock time
INTERNAL EVENT,1678171009.7649438,0,0
INTERNAL EVENT,1678171009.931627,0,1
INTERNAL EVENT,1678171010.098615,0,2
INTERNAL EVENT,1678171010.265764,0,3
INTERNAL EVENT,1678171010.432626,0,4
SEND TO A,1678171010.7666261,0,6
INTERNAL EVENT,1678171011.100642,0,8
INTERNAL EVENT,1678171011.267622,0,9
INTERNAL EVENT,1678171011.4346309,0,10
SEND TO C,1678171011.6016471,0,11
INTERNAL EVENT,1678171011.768594,1,12
SEND TO A,1678171012.102669,0,14
INTERNAL EVENT,1678171012.269741,0,15
INTERNAL EVENT,1678171012.4366112,0,16
SEND TO A,1678171012.603677,0,17
SEND TO C,1678171012.603863,0,18
INTERNAL EVENT,1678171012.770643,0,19
INTERNAL EVENT,1678171012.937608,0,20
INTERNAL EVENT,1678171013.104597,0,21
SEND TO A,1678171013.271658,0,22
SEND TO C,1678171013.271818,0,23
INTERNAL EVENT,1678171013.4386299,0,24
SEND TO A,1678171013.605681,0,25
SEND TO C,1678171013.6058528,0,26
INTERNAL EVENT,1678171013.7726169,0,27
INTERNAL EVENT,1678171013.939622,0,28
INTERNAL EVENT,1678171014.1066,0,29
INTERNAL EVENT,1678171014.273632,0,30
INTERNAL EVENT,1678171014.44064,0,31
INTERNAL EVENT,1678171014.607717,0,32
INTERNAL EVENT,1678171014.774625,0,33
INTERNAL EVENT,1678171014.941628,0,34
INTERNAL EVENT,1678171015.1086369,1,35
SEND TO A,1678171015.442684,0,37
SEND TO C,1678171015.442848,0,38
SEND TO C,1678171015.6104288,0,39
INTERNAL EVENT,1678171015.776633,0,40
INTERNAL EVENT,1678171015.943615,0,41
SEND TO A,1678171016.110623,0,42
SEND TO C,1678171016.110754,0,43
SEND TO C,1678171016.2776582,0,44
INTERNAL EVENT,1678171016.448546,0,45
SEND TO C,1678171016.615874,0,46
INTERNAL EVENT,1678171016.782613,0,47
INTERNAL EVENT,1678171016.949621,0,48
INTERNAL EVENT,1678171017.116805,1,49
SEND TO A,1678171017.450689,1,51
SEND TO C,1678171017.450898,1,52
INTERNAL EVENT,1678171017.784618,0,54
INTERNAL EVENT,1678171017.951628,0,55
SEND TO A,1678171018.118651,0,56
SEND TO A,1678171018.285641,0,57
INTERNAL EVENT,1678171018.452621,0,58
INTERNAL EVENT,1678171018.619612,0,59
