received,global time,len of queue,logical clock time
SEND TO A,1678160726.162886,0,0
SEND TO B,1678160726.163765,0,1
SEND TO A,1678160726.830643,0,3
INTERNAL EVENT,1678160727.164602,0,4
SEND TO A,1678160727.4986181,0,5
SEND TO B,1678160727.498763,0,6
SEND TO A,1678160727.8326201,0,7
SEND TO B,1678160727.8327732,0,8
INTERNAL EVENT,1678160728.166612,0,9
SEND TO B,1678160728.500631,0,10
SEND TO A,1678160728.834626,0,11
SEND TO B,1678160728.834775,0,12
SEND TO A,1678160729.1686342,0,13
SEND TO A,1678160729.502663,0,14
INTERNAL EVENT,1678160730.170592,0,16
SEND TO A,1678160730.838618,0,18
INTERNAL EVENT,1678160731.172618,1,19
INTERNAL EVENT,1678160731.8405912,0,21
INTERNAL EVENT,1678160732.1746502,1,22
SEND TO A,1678160733.176652,0,25
INTERNAL EVENT,1678160734.1785789,0,28
SEND TO B,1678160734.846848,0,30
INTERNAL EVENT,1678160735.180602,0,31
INTERNAL EVENT,1678160735.518517,0,32
SEND TO A,1678160735.8516538,0,33
SEND TO B,1678160736.191416,0,34
SEND TO A,1678160736.519711,0,35
SEND TO B,1678160736.519947,0,36
INTERNAL EVENT,1678160736.8537018,0,37
SEND TO B,1678160737.1877298,0,38
SEND TO A,1678160737.5216389,0,39
SEND TO B,1678160737.855655,0,40
SEND TO B,1678160738.1913211,0,41
SEND TO A,1678160738.5237088,0,42
SEND TO A,1678160738.857708,0,43
INTERNAL EVENT,1678160739.192435,0,44
SEND TO A,1678160740.193692,0,47
SEND TO A,1678160740.527723,0,48
SEND TO A,1678160740.861712,0,49
SEND TO B,1678160740.861946,0,50
INTERNAL EVENT,1678160741.195622,0,51
SEND TO A,1678160741.529648,0,52
SEND TO B,1678160741.5298162,0,53
INTERNAL EVENT,1678160741.863704,0,54
SEND TO B,1678160742.197609,0,55
SEND TO A,1678160742.53166,0,56
SEND TO B,1678160742.531852,0,57
SEND TO B,1678160742.865667,0,58
SEND TO A,1678160743.199658,0,59
SEND TO B,1678160743.5337029,0,60
SEND TO B,1678160743.86762,0,61
INTERNAL EVENT,1678160744.201598,0,62
SEND TO A,1678160744.5356631,0,63
SEND TO B,1678160744.5358348,0,64
INTERNAL EVENT,1678160744.8695831,0,65
SEND TO A,1678160745.203617,0,66
SEND TO A,1678160745.53762,0,67
SEND TO B,1678160745.5377731,0,68
SEND TO A,1678160745.871649,0,69
SEND TO A,1678160746.205646,1,70
SEND TO B,1678160746.2057788,1,71
SEND TO A,1678160746.873719,0,73
SEND TO A,1678160747.207625,0,74
SEND TO B,1678160747.5416331,0,75
INTERNAL EVENT,1678160747.875583,0,76
SEND TO A,1678160748.209642,1,77
INTERNAL EVENT,1678160749.211651,0,80
INTERNAL EVENT,1678160750.213718,0,83
INTERNAL EVENT,1678160750.547609,0,84
SEND TO A,1678160751.215615,1,86
SEND TO B,1678160751.215747,1,87
SEND TO A,1678160751.8836339,0,89
SEND TO B,1678160752.217598,0,90
SEND TO A,1678160752.551626,0,91
INTERNAL EVENT,1678160752.885587,0,92
SEND TO A,1678160753.219625,1,93
SEND TO B,1678160753.219745,1,94
SEND TO A,1678160753.887618,0,96
SEND TO B,1678160753.8877509,0,97
INTERNAL EVENT,1678160754.221618,0,98
INTERNAL EVENT,1678160754.555615,0,99
SEND TO A,1678160755.2236202,0,101
SEND TO B,1678160755.557643,0,102
SEND TO A,1678160755.891675,0,103
SEND TO A,1678160756.225644,1,104
SEND TO B,1678160756.2257888,1,105
SEND TO B,1678160756.89362,0,107
SEND TO A,1678160757.227635,0,108
SEND TO B,1678160757.2278059,0,109
INTERNAL EVENT,1678160757.561593,0,110
SEND TO B,1678160757.895627,0,111
SEND TO A,1678160758.229654,0,112
SEND TO B,1678160758.563648,0,113
SEND TO B,1678160758.897631,0,114
SEND TO B,1678160759.231703,0,115
SEND TO A,1678160759.565622,0,116
INTERNAL EVENT,1678160759.899599,0,117
SEND TO A,1678160760.233658,1,118
SEND TO A,1678160761.236021,0,121
SEND TO A,1678160761.90534,0,123
SEND TO B,1678160762.248876,0,124
INTERNAL EVENT,1678160762.582627,0,125
SEND TO A,1678160762.916781,0,126
SEND TO B,1678160762.9176152,0,127
SEND TO A,1678160763.2506728,0,128
INTERNAL EVENT,1678160763.918634,0,130
INTERNAL EVENT,1678160764.25261,0,131
SEND TO B,1678160764.586621,0,132
SEND TO B,1678160764.920664,0,133
SEND TO A,1678160765.2546601,0,134
SEND TO B,1678160765.254845,0,135
INTERNAL EVENT,1678160765.588597,0,136
SEND TO A,1678160765.922668,0,137
SEND TO B,1678160765.9228559,0,138
INTERNAL EVENT,1678160766.256623,0,139
INTERNAL EVENT,1678160766.5905962,0,140
SEND TO A,1678160766.92463,0,141
SEND TO A,1678160767.25865,0,142
SEND TO A,1678160767.926633,0,144
SEND TO A,1678160768.260633,0,145
SEND TO B,1678160768.260787,0,146
SEND TO A,1678160768.594632,0,147
SEND TO B,1678160768.5948129,0,148
SEND TO B,1678160768.928622,0,149
SEND TO B,1678160769.262642,0,150
SEND TO B,1678160769.596639,0,151
SEND TO A,1678160769.930639,0,152
SEND TO B,1678160770.2646332,0,153
INTERNAL EVENT,1678160770.59859,0,154
SEND TO A,1678160770.9326441,0,155
INTERNAL EVENT,1678160771.2665951,0,156
INTERNAL EVENT,1678160771.9345868,0,158
INTERNAL EVENT,1678160772.26862,0,159
SEND TO A,1678160772.602648,0,160
INTERNAL EVENT,1678160772.936608,0,161
INTERNAL EVENT,1678160773.270607,0,162
INTERNAL EVENT,1678160773.938625,0,164
INTERNAL EVENT,1678160774.606674,0,166
SEND TO A,1678160774.9411159,0,167
SEND TO B,1678160774.941516,0,168
INTERNAL EVENT,1678160775.274631,0,169
INTERNAL EVENT,1678160775.608622,0,170
SEND TO A,1678160775.942668,0,171
SEND TO A,1678160776.9447958,0,174
SEND TO B,1678160776.9449658,0,175
SEND TO A,1678160777.278629,0,176
SEND TO B,1678160777.2806149,0,177
INTERNAL EVENT,1678160777.6126,0,178
INTERNAL EVENT,1678160777.946607,0,179
INTERNAL EVENT,1678160778.948631,0,182
SEND TO A,1678160779.95063,0,185
SEND TO B,1678160779.950782,0,186
SEND TO B,1678160780.2846699,0,187
SEND TO A,1678160780.6186712,0,188
SEND TO A,1678160780.9526432,0,189
INTERNAL EVENT,1678160781.286677,0,190
SEND TO A,1678160781.6207402,0,191
SEND TO B,1678160781.621021,0,192
SEND TO A,1678160781.954695,0,193
SEND TO B,1678160782.288637,0,194
INTERNAL EVENT,1678160782.622592,0,195
SEND TO A,1678160782.956657,0,196
SEND TO A,1678160783.624695,0,198
SEND TO B,1678160783.6249,0,199
SEND TO B,1678160783.958661,0,200
SEND TO A,1678160784.292638,0,201
SEND TO B,1678160784.292799,0,202
INTERNAL EVENT,1678160784.626624,0,203
INTERNAL EVENT,1678160784.960597,0,204
INTERNAL EVENT,1678160785.294612,0,205
SEND TO A,1678160785.9626648,0,207
SEND TO B,1678160785.964374,0,208
