received,global time,len of queue,logical clock time
INTERNAL EVENT,1678160726.162664,0,0
SEND TO C,1678160729.668637,0,13
SEND TO C,1678160730.169631,0,14
INTERNAL EVENT,1678160730.670594,0,15
SEND TO A,1678160731.171645,0,16
SEND TO C,1678160731.17182,0,17
SEND TO A,1678160731.672641,0,18
SEND TO C,1678160732.17365,0,19
SEND TO A,1678160732.6746612,0,20
SEND TO C,1678160732.6748958,0,21
SEND TO A,1678160733.175681,0,22
SEND TO C,1678160733.175852,0,23
SEND TO C,1678160733.676644,0,24
SEND TO A,1678160734.177676,0,25
SEND TO C,1678160734.177855,0,26
INTERNAL EVENT,1678160734.6785889,0,27
SEND TO A,1678160735.68067,0,31
SEND TO A,1678160736.181716,0,32
SEND TO A,1678160739.1876779,0,42
SEND TO C,1678160739.187885,0,43
SEND TO C,1678160739.6886458,0,44
SEND TO A,1678160740.189634,0,45
INTERNAL EVENT,1678160740.690677,0,46
SEND TO A,1678160742.193642,0,54
SEND TO A,1678160746.201633,0,69
SEND TO C,1678160746.201802,0,70
INTERNAL EVENT,1678160747.2035992,0,72
SEND TO A,1678160748.2056162,0,76
SEND TO C,1678160748.2057679,0,77
SEND TO C,1678160748.7066329,0,78
SEND TO A,1678160749.207653,0,79
SEND TO C,1678160749.2078311,0,80
SEND TO C,1678160749.708659,0,81
INTERNAL EVENT,1678160750.209609,0,82
SEND TO C,1678160750.710658,0,83
SEND TO C,1678160751.211655,0,84
SEND TO A,1678160752.213629,0,88
SEND TO C,1678160753.21561,0,91
SEND TO C,1678160754.7186298,0,98
SEND TO A,1678160755.2196548,0,99
SEND TO C,1678160756.221637,0,103
SEND TO A,1678160760.2306602,0,116
SEND TO C,1678160760.23084,0,117
SEND TO A,1678160760.731659,0,118
SEND TO C,1678160760.73187,0,119
SEND TO A,1678160761.493248,0,120
SEND TO C,1678160761.4953759,0,121
INTERNAL EVENT,1678160762.003184,0,122
SEND TO A,1678160763.5056698,0,128
SEND TO C,1678160763.505861,0,129
INTERNAL EVENT,1678160764.006655,0,130
INTERNAL EVENT,1678160764.507595,0,131
INTERNAL EVENT,1678160767.012647,0,139
SEND TO C,1678160767.5136662,0,140
INTERNAL EVENT,1678160768.014626,0,141
SEND TO C,1678160771.5216372,0,154
SEND TO A,1678160772.022753,0,155
SEND TO A,1678160772.523681,0,156
SEND TO A,1678160773.024847,0,157
SEND TO C,1678160773.525645,0,158
SEND TO C,1678160774.026668,0,159
INTERNAL EVENT,1678160774.5276318,0,160
SEND TO A,1678160775.529643,0,169
SEND TO A,1678160776.0306408,0,170
SEND TO C,1678160776.030804,0,171
SEND TO A,1678160776.5316758,0,172
SEND TO C,1678160776.531852,0,173
SEND TO C,1678160778.034672,0,178
SEND TO C,1678160778.535677,0,179
SEND TO A,1678160779.036651,0,180
SEND TO C,1678160779.0368278,0,181
SEND TO C,1678160779.537698,0,182
SEND TO A,1678160781.040673,0,188
INTERNAL EVENT,1678160781.541611,0,189
SEND TO C,1678160783.044684,0,195
INTERNAL EVENT,1678160783.5456,0,196
SEND TO A,1678160785.5496671,0,203
SEND TO C,1678160785.549844,0,204
