received,global time,len of queue,logical clock time
SEND TO C,1678252349.9698749,0,0
POP FROM QUEUE,1678252350.303678,0,2
POP FROM QUEUE,1678252350.647048,0,4
SEND TO A,1678252350.98092,0,4
POP FROM QUEUE,1678252351.314665,0,10
SEND TO A,1678252351.6489441,0,10
SEND TO C,1678252351.649158,0,11
INTERNAL EVENT,1678252351.982774,0,12
POP FROM QUEUE,1678252352.3167171,0,16
POP FROM QUEUE,1678252352.651072,0,19
SEND TO A,1678252352.986233,0,19
SEND TO A,1678252353.319796,0,20
SEND TO C,1678252353.6582541,0,21
POP FROM QUEUE,1678252353.990803,0,27
POP FROM QUEUE,1678252354.325403,0,29
POP FROM QUEUE,1678252354.658703,0,31
POP FROM QUEUE,1678252355.003793,0,34
SEND TO A,1678252355.3268821,0,34
POP FROM QUEUE,1678252355.660809,1,37
POP FROM QUEUE,1678252356.033289,2,39
POP FROM QUEUE,1678252356.348927,2,41
POP FROM QUEUE,1678252356.670272,2,43
POP FROM QUEUE,1678252357.004138,2,45
POP FROM QUEUE,1678252357.3436759,3,49
POP FROM QUEUE,1678252357.6737542,3,51
POP FROM QUEUE,1678252358.0077178,3,54
POP FROM QUEUE,1678252358.341934,3,55
POP FROM QUEUE,1678252358.6757839,3,58
POP FROM QUEUE,1678252359.0142121,2,60
POP FROM QUEUE,1678252359.3471098,2,62
POP FROM QUEUE,1678252359.6806772,2,65
POP FROM QUEUE,1678252360.0148401,2,70
POP FROM QUEUE,1678252360.348989,3,72
POP FROM QUEUE,1678252360.682882,2,75
POP FROM QUEUE,1678252361.0167198,1,76
POP FROM QUEUE,1678252361.350843,1,77
POP FROM QUEUE,1678252361.685596,1,84
POP FROM QUEUE,1678252362.018707,1,87
POP FROM QUEUE,1678252362.352708,1,89
POP FROM QUEUE,1678252362.686851,2,91
POP FROM QUEUE,1678252363.0206661,2,93
POP FROM QUEUE,1678252363.35478,3,94
POP FROM QUEUE,1678252363.6892328,3,96
POP FROM QUEUE,1678252364.022717,2,97
POP FROM QUEUE,1678252364.3568718,3,98
POP FROM QUEUE,1678252364.691377,3,99
POP FROM QUEUE,1678252365.0278661,3,104
POP FROM QUEUE,1678252365.361887,3,105
POP FROM QUEUE,1678252365.6958568,4,107
POP FROM QUEUE,1678252366.0297868,4,111
POP FROM QUEUE,1678252366.363762,4,114
POP FROM QUEUE,1678252366.698168,4,115
POP FROM QUEUE,1678252367.040114,4,116
POP FROM QUEUE,1678252367.36677,3,119
POP FROM QUEUE,1678252367.70075,3,121
POP FROM QUEUE,1678252368.0348318,2,123
POP FROM QUEUE,1678252368.368771,2,124
POP FROM QUEUE,1678252368.703112,3,129
POP FROM QUEUE,1678252369.036729,4,134
POP FROM QUEUE,1678252369.374212,5,135
POP FROM QUEUE,1678252369.707075,5,136
POP FROM QUEUE,1678252370.040001,4,137
POP FROM QUEUE,1678252370.3740952,5,138
POP FROM QUEUE,1678252370.707707,5,140
POP FROM QUEUE,1678252371.041717,5,141
