received,global time,len of queue,logical clock time
SEND TO A,1678252544.992096,0,0
POP FROM QUEUE,1678252545.158617,0,2
SEND TO A,1678252545.325661,0,2
SEND TO B,1678252545.325809,0,3
INTERNAL EVENT,1678252545.492641,0,4
POP FROM QUEUE,1678252545.659669,0,6
INTERNAL EVENT,1678252545.8266208,0,6
SEND TO B,1678252545.993728,0,7
INTERNAL EVENT,1678252546.1606941,0,8
SEND TO A,1678252546.327667,0,9
SEND TO B,1678252546.3278568,0,10
SEND TO A,1678252546.494669,0,11
SEND TO B,1678252546.494853,0,12
SEND TO B,1678252546.661709,0,13
SEND TO B,1678252546.828688,0,14
SEND TO A,1678252546.9957,0,15
SEND TO B,1678252546.9959738,0,16
SEND TO A,1678252547.1650538,0,17
INTERNAL EVENT,1678252547.331697,0,18
POP FROM QUEUE,1678252547.4986722,0,20
SEND TO A,1678252547.665643,0,20
POP FROM QUEUE,1678252547.832574,0,22
INTERNAL EVENT,1678252547.999603,0,22
POP FROM QUEUE,1678252548.166682,0,24
INTERNAL EVENT,1678252548.333633,0,24
POP FROM QUEUE,1678252548.5006201,0,26
SEND TO A,1678252548.667663,0,26
SEND TO B,1678252548.667871,0,27
SEND TO B,1678252548.8346791,0,28
SEND TO A,1678252549.001639,0,29
SEND TO B,1678252549.001817,0,30
SEND TO A,1678252549.16868,0,31
SEND TO B,1678252549.168851,0,32
INTERNAL EVENT,1678252549.3356302,0,33
SEND TO B,1678252549.502629,0,34
INTERNAL EVENT,1678252549.669697,0,35
SEND TO A,1678252549.8367229,0,36
SEND TO B,1678252549.836951,0,37
SEND TO A,1678252550.003689,0,38
SEND TO B,1678252550.003904,0,39
SEND TO B,1678252550.170742,0,40
SEND TO B,1678252550.337759,0,41
INTERNAL EVENT,1678252550.504638,0,42
POP FROM QUEUE,1678252550.671642,0,44
POP FROM QUEUE,1678252550.838599,0,45
SEND TO B,1678252551.005621,0,45
SEND TO A,1678252551.1726239,0,46
SEND TO B,1678252551.1727612,0,47
SEND TO B,1678252551.348848,0,48
INTERNAL EVENT,1678252551.509632,0,49
SEND TO B,1678252551.6773498,0,50
SEND TO A,1678252551.842865,0,51
SEND TO B,1678252551.843649,0,52
SEND TO A,1678252552.009897,0,53
SEND TO B,1678252552.0102558,0,54
SEND TO A,1678252552.176736,0,55
INTERNAL EVENT,1678252552.343783,0,56
POP FROM QUEUE,1678252552.520393,0,58
INTERNAL EVENT,1678252552.677807,0,58
POP FROM QUEUE,1678252552.844875,0,60
SEND TO A,1678252553.013131,0,60
SEND TO B,1678252553.013702,0,61
SEND TO A,1678252553.1788511,0,62
SEND TO B,1678252553.179292,0,63
SEND TO B,1678252553.345835,0,64
SEND TO A,1678252553.513435,0,65
POP FROM QUEUE,1678252553.679839,0,67
POP FROM QUEUE,1678252553.8483782,0,68
INTERNAL EVENT,1678252554.014911,0,68
INTERNAL EVENT,1678252554.181758,0,69
POP FROM QUEUE,1678252554.3486679,0,71
POP FROM QUEUE,1678252554.515878,0,72
POP FROM QUEUE,1678252554.682678,0,73
SEND TO B,1678252554.8497741,0,73
SEND TO A,1678252555.0167658,0,74
SEND TO A,1678252555.183754,0,75
SEND TO B,1678252555.1840808,0,76
INTERNAL EVENT,1678252555.3508632,0,77
SEND TO A,1678252555.517708,0,78
SEND TO B,1678252555.517923,0,79
SEND TO B,1678252555.684789,0,80
SEND TO A,1678252555.851748,0,81
SEND TO A,1678252556.020223,0,82
SEND TO A,1678252556.18717,0,83
INTERNAL EVENT,1678252556.353684,0,84
POP FROM QUEUE,1678252556.5206048,0,86
POP FROM QUEUE,1678252556.687627,0,87
SEND TO A,1678252556.85463,1,87
POP FROM QUEUE,1678252557.021779,0,89
POP FROM QUEUE,1678252557.189303,0,90
POP FROM QUEUE,1678252557.358506,0,91
POP FROM QUEUE,1678252557.525093,0,93
POP FROM QUEUE,1678252557.691645,0,94
SEND TO A,1678252557.858797,1,94
SEND TO B,1678252557.858977,1,95
POP FROM QUEUE,1678252558.025859,0,97
INTERNAL EVENT,1678252558.192818,0,97
SEND TO A,1678252558.3601,0,98
SEND TO B,1678252558.360469,0,99
INTERNAL EVENT,1678252558.526797,0,100
POP FROM QUEUE,1678252558.693661,0,102
POP FROM QUEUE,1678252558.860651,0,103
INTERNAL EVENT,1678252559.027552,0,103
POP FROM QUEUE,1678252559.194685,1,105
POP FROM QUEUE,1678252559.3616168,1,106
POP FROM QUEUE,1678252559.52899,1,107
POP FROM QUEUE,1678252559.69616,0,108
SEND TO B,1678252559.86328,0,108
SEND TO A,1678252560.040586,0,109
INTERNAL EVENT,1678252560.206826,0,110
POP FROM QUEUE,1678252560.386435,0,112
SEND TO A,1678252560.544492,0,112
SEND TO B,1678252560.710795,0,113
SEND TO A,1678252560.8800168,0,114
SEND TO A,1678252561.045829,0,115
POP FROM QUEUE,1678252561.212713,0,117
POP FROM QUEUE,1678252561.3796961,0,118
POP FROM QUEUE,1678252561.546675,0,119
INTERNAL EVENT,1678252561.713609,0,119
INTERNAL EVENT,1678252561.8806021,0,120
SEND TO B,1678252562.0476558,0,121
POP FROM QUEUE,1678252562.214588,0,123
POP FROM QUEUE,1678252562.381703,0,124
INTERNAL EVENT,1678252562.548655,0,124
POP FROM QUEUE,1678252562.7156491,0,126
SEND TO B,1678252562.882731,0,126
SEND TO B,1678252563.061279,0,127
SEND TO A,1678252563.2285419,0,128
SEND TO B,1678252563.228971,0,129
SEND TO A,1678252563.394749,0,130
SEND TO B,1678252563.395363,0,131
SEND TO B,1678252563.561696,0,132
SEND TO A,1678252563.728668,0,133
SEND TO B,1678252563.728909,0,134
SEND TO A,1678252563.8956769,0,135
SEND TO B,1678252563.895821,0,136
SEND TO B,1678252564.062725,0,137
SEND TO A,1678252564.229723,0,138
SEND TO B,1678252564.230002,0,139
INTERNAL EVENT,1678252564.396964,0,140
SEND TO A,1678252564.563667,0,141
SEND TO A,1678252564.730711,0,142
SEND TO B,1678252564.897654,0,143
POP FROM QUEUE,1678252565.064641,0,145
SEND TO B,1678252565.231606,0,145
SEND TO B,1678252565.3986628,0,146
