received,global time,len of queue,logical clock time
SEND TO A,1678167761.163187,0,0
SEND TO C,1678167761.1635041,0,1
INTERNAL EVENT,1678167762.1636322,0,2
INTERNAL EVENT,1678167763.164798,0,3
INTERNAL EVENT,1678167764.1657732,0,4
INTERNAL EVENT,1678167766.167861,0,6
INTERNAL EVENT,1678167767.168715,0,7
SEND TO A,1678167771.17286,0,11
SEND TO C,1678167771.173023,0,12
SEND TO A,1678167772.174113,0,13
INTERNAL EVENT,1678167773.174898,0,14
SEND TO A,1678167774.176426,1,15
SEND TO C,1678167774.176708,1,16
SEND TO C,1678167776.182345,0,18
SEND TO C,1678167777.1787179,0,19
SEND TO A,1678167778.180326,0,20
INTERNAL EVENT,1678167779.181241,0,21
SEND TO A,1678167780.1817758,0,22
INTERNAL EVENT,1678167782.183866,0,24
INTERNAL EVENT,1678167784.185785,0,26
INTERNAL EVENT,1678167786.188055,0,28
INTERNAL EVENT,1678167787.189205,0,29
SEND TO A,1678167788.192207,0,30
INTERNAL EVENT,1678167789.1907032,0,31
INTERNAL EVENT,1678167790.191675,0,32
INTERNAL EVENT,1678167791.192796,0,33
INTERNAL EVENT,1678167792.1936798,0,34
SEND TO A,1678167793.1947021,0,35
INTERNAL EVENT,1678167794.1957061,0,36
INTERNAL EVENT,1678167795.196749,0,37
INTERNAL EVENT,1678167796.197633,0,38
INTERNAL EVENT,1678167797.198715,0,39
INTERNAL EVENT,1678167798.199717,0,40
INTERNAL EVENT,1678167799.2007658,0,41
SEND TO A,1678167800.2018812,0,42
SEND TO C,1678167800.2020102,0,43
INTERNAL EVENT,1678167801.202674,0,44
SEND TO A,1678167802.2036638,0,45
INTERNAL EVENT,1678167803.204617,0,46
SEND TO C,1678167805.206677,0,48
INTERNAL EVENT,1678167806.207671,0,49
SEND TO A,1678167807.208718,0,50
SEND TO C,1678167807.208902,0,51
INTERNAL EVENT,1678167808.2097862,0,52
SEND TO A,1678167809.2109828,0,53
INTERNAL EVENT,1678167810.211709,0,54
INTERNAL EVENT,1678167811.212737,0,55
INTERNAL EVENT,1678167812.2136278,0,56
INTERNAL EVENT,1678167813.2146199,0,57
INTERNAL EVENT,1678167814.215629,0,58
INTERNAL EVENT,1678167816.217974,0,60
INTERNAL EVENT,1678167818.219708,0,62
INTERNAL EVENT,1678167819.220782,0,63
INTERNAL EVENT,1678167820.2216709,0,64
