received,global time,len of queue,logical clock time
INTERNAL EVENT,1678167761.163242,0,0
INTERNAL EVENT,1678167763.1648488,0,2
SEND TO B,1678167764.165928,0,3
INTERNAL EVENT,1678167765.16685,0,4
INTERNAL EVENT,1678167766.1678421,0,5
INTERNAL EVENT,1678167767.1686962,0,6
SEND TO B,1678167769.1707299,0,8
SEND TO C,1678167769.170887,0,9
INTERNAL EVENT,1678167770.171725,0,10
INTERNAL EVENT,1678167771.172784,0,11
SEND TO B,1678167774.176397,2,14
SEND TO C,1678167774.176727,2,15
INTERNAL EVENT,1678167777.1790879,0,18
INTERNAL EVENT,1678167778.1798122,0,19
SEND TO B,1678167780.1823869,1,21
SEND TO C,1678167780.182698,1,22
SEND TO B,1678167782.183847,0,24
SEND TO B,1678167784.1861901,0,26
SEND TO C,1678167785.186731,0,27
SEND TO C,1678167786.187812,0,28
INTERNAL EVENT,1678167787.18925,0,29
INTERNAL EVENT,1678167788.1913788,0,30
INTERNAL EVENT,1678167790.1917708,0,32
INTERNAL EVENT,1678167792.1936798,0,34
INTERNAL EVENT,1678167793.1946712,0,35
INTERNAL EVENT,1678167796.197794,0,38
INTERNAL EVENT,1678167797.198946,0,39
INTERNAL EVENT,1678167798.199716,0,40
INTERNAL EVENT,1678167799.200753,0,41
INTERNAL EVENT,1678167800.201691,0,42
INTERNAL EVENT,1678167802.20366,0,44
INTERNAL EVENT,1678167805.2066739,0,47
INTERNAL EVENT,1678167806.20767,0,48
INTERNAL EVENT,1678167807.2087328,0,49
INTERNAL EVENT,1678167809.210995,0,51
INTERNAL EVENT,1678167811.212762,0,54
SEND TO C,1678167812.213789,0,55
INTERNAL EVENT,1678167813.214623,0,56
INTERNAL EVENT,1678167814.2156422,0,57
INTERNAL EVENT,1678167815.2166889,0,58
SEND TO B,1678167816.217807,0,59
INTERNAL EVENT,1678167817.218611,0,60
SEND TO C,1678167818.2197492,0,61
INTERNAL EVENT,1678167819.220722,0,62
SEND TO B,1678167820.2248042,1,63
SEND TO C,1678167820.22494,1,64
