received,global time,len of queue,logical clock time
INTERNAL EVENT,1678167761.16313,0,0
INTERNAL EVENT,1678167763.164851,0,2
INTERNAL EVENT,1678167764.1657631,0,3
INTERNAL EVENT,1678167765.1666481,0,4
INTERNAL EVENT,1678167766.167828,0,5
SEND TO A,1678167767.168939,0,6
SEND TO B,1678167767.1690738,0,7
SEND TO B,1678167768.169766,0,8
INTERNAL EVENT,1678167769.170645,0,9
INTERNAL EVENT,1678167771.1727848,0,11
INTERNAL EVENT,1678167773.174911,0,13
SEND TO A,1678167774.176175,0,14
INTERNAL EVENT,1678167779.181311,0,20
INTERNAL EVENT,1678167780.1817741,0,21
SEND TO A,1678167782.1839092,0,23
INTERNAL EVENT,1678167783.184708,0,24
INTERNAL EVENT,1678167784.1857002,0,25
INTERNAL EVENT,1678167785.18682,0,26
INTERNAL EVENT,1678167788.1927161,0,29
INTERNAL EVENT,1678167789.190702,0,30
SEND TO A,1678167790.1918879,0,31
INTERNAL EVENT,1678167791.192801,0,32
INTERNAL EVENT,1678167792.1936798,0,33
SEND TO A,1678167793.194711,0,34
INTERNAL EVENT,1678167794.195731,0,35
INTERNAL EVENT,1678167795.1966872,0,36
INTERNAL EVENT,1678167796.197633,0,37
INTERNAL EVENT,1678167797.1986969,0,38
INTERNAL EVENT,1678167798.199764,0,39
INTERNAL EVENT,1678167799.200754,0,40
INTERNAL EVENT,1678167800.2016819,0,41
INTERNAL EVENT,1678167802.2036328,0,44
SEND TO A,1678167803.204739,0,45
SEND TO B,1678167803.204905,0,46
INTERNAL EVENT,1678167804.2056692,0,47
INTERNAL EVENT,1678167805.206617,0,48
INTERNAL EVENT,1678167807.208728,0,50
INTERNAL EVENT,1678167809.21146,0,52
INTERNAL EVENT,1678167810.211704,0,53
INTERNAL EVENT,1678167811.212737,0,54
INTERNAL EVENT,1678167812.2136278,0,55
SEND TO B,1678167814.215795,0,57
INTERNAL EVENT,1678167815.216745,0,58
INTERNAL EVENT,1678167816.217657,0,59
INTERNAL EVENT,1678167817.218611,0,60
INTERNAL EVENT,1678167818.219708,0,61
SEND TO A,1678167820.223805,0,63
