received,global time,len of queue,logical clock time
INTERNAL EVENT,1678171049.772414,0,0
POP FROM QUEUE,1678171050.772647,2,2
POP FROM QUEUE,1678171051.773712,3,3
POP FROM QUEUE,1678171052.774652,2,5
POP FROM QUEUE,1678171053.77565,2,6
POP FROM QUEUE,1678171054.7766669,2,9
POP FROM QUEUE,1678171055.7776508,3,18
POP FROM QUEUE,1678171056.7786298,4,29
POP FROM QUEUE,1678171057.779644,3,33
POP FROM QUEUE,1678171058.787401,3,38
POP FROM QUEUE,1678171059.787775,3,42
POP FROM QUEUE,1678171060.7886841,4,44
POP FROM QUEUE,1678171061.7896278,4,59
POP FROM QUEUE,1678171062.790637,4,62
POP FROM QUEUE,1678171063.791672,4,69
POP FROM QUEUE,1678171064.7927449,5,71
POP FROM QUEUE,1678171065.793817,8,74
POP FROM QUEUE,1678171066.795188,8,86
POP FROM QUEUE,1678171067.795648,10,88
POP FROM QUEUE,1678171068.796683,10,91
POP FROM QUEUE,1678171069.797655,10,96
POP FROM QUEUE,1678171070.798692,12,101
POP FROM QUEUE,1678171071.799822,12,103
POP FROM QUEUE,1678171072.8006809,12,104
POP FROM QUEUE,1678171073.801714,14,107
POP FROM QUEUE,1678171074.802677,16,110
POP FROM QUEUE,1678171075.803803,17,116
POP FROM QUEUE,1678171076.804929,19,119
POP FROM QUEUE,1678171077.805731,19,122
POP FROM QUEUE,1678171078.806644,21,123
POP FROM QUEUE,1678171079.807637,23,131
POP FROM QUEUE,1678171080.808646,22,137
POP FROM QUEUE,1678171081.809654,22,139
POP FROM QUEUE,1678171082.811511,22,142
POP FROM QUEUE,1678171083.811645,22,144
POP FROM QUEUE,1678171084.8126369,24,147
POP FROM QUEUE,1678171085.813632,24,154
POP FROM QUEUE,1678171086.814649,26,160
POP FROM QUEUE,1678171087.8156302,27,162
POP FROM QUEUE,1678171088.816641,30,163
POP FROM QUEUE,1678171089.817642,32,166
POP FROM QUEUE,1678171090.81866,32,167
POP FROM QUEUE,1678171091.819625,33,170
POP FROM QUEUE,1678171092.820651,34,173
POP FROM QUEUE,1678171093.821669,35,177
POP FROM QUEUE,1678171094.822739,37,181
POP FROM QUEUE,1678171095.823627,37,182
POP FROM QUEUE,1678171096.824651,38,186
POP FROM QUEUE,1678171097.8256488,38,188
POP FROM QUEUE,1678171098.8267462,38,193
POP FROM QUEUE,1678171099.827638,39,195
POP FROM QUEUE,1678171100.8286452,38,198
POP FROM QUEUE,1678171101.8296478,38,200
POP FROM QUEUE,1678171102.830652,42,201
POP FROM QUEUE,1678171103.8410292,42,212
POP FROM QUEUE,1678171104.841655,42,222
POP FROM QUEUE,1678171105.84264,44,223
POP FROM QUEUE,1678171106.8436558,45,226
POP FROM QUEUE,1678171107.844662,45,234
POP FROM QUEUE,1678171108.845643,46,235
