received,global time,len of queue,logical clock time
SEND TO A,1678171049.772361,0,0
SEND TO B,1678171049.773277,0,1
INTERNAL EVENT,1678171049.9386492,0,2
SEND TO B,1678171050.1056352,0,3
SEND TO A,1678171050.27268,0,4
INTERNAL EVENT,1678171050.439612,0,5
INTERNAL EVENT,1678171050.6066298,0,6
INTERNAL EVENT,1678171050.773601,0,7
SEND TO A,1678171050.940654,0,8
INTERNAL EVENT,1678171051.107626,0,9
INTERNAL EVENT,1678171051.274624,0,10
INTERNAL EVENT,1678171051.441622,0,11
INTERNAL EVENT,1678171051.60862,0,12
SEND TO B,1678171051.7811022,0,13
INTERNAL EVENT,1678171051.9446049,0,14
SEND TO B,1678171052.111645,0,15
INTERNAL EVENT,1678171052.2786188,0,16
INTERNAL EVENT,1678171052.4455922,0,17
INTERNAL EVENT,1678171052.612629,0,18
INTERNAL EVENT,1678171052.779594,0,19
INTERNAL EVENT,1678171052.9481542,0,20
INTERNAL EVENT,1678171053.114663,0,21
SEND TO B,1678171053.2816389,0,22
INTERNAL EVENT,1678171053.448607,0,23
INTERNAL EVENT,1678171053.6156402,0,24
INTERNAL EVENT,1678171053.782666,0,25
INTERNAL EVENT,1678171053.949685,0,26
INTERNAL EVENT,1678171054.11743,0,27
SEND TO A,1678171054.283645,0,28
SEND TO B,1678171054.283808,0,29
INTERNAL EVENT,1678171054.450634,0,30
SEND TO B,1678171054.617847,0,31
INTERNAL EVENT,1678171054.784651,0,32
INTERNAL EVENT,1678171054.951662,0,33
INTERNAL EVENT,1678171055.124299,0,34
POP FROM QUEUE,1678171055.286731,0,36
INTERNAL EVENT,1678171055.4536269,0,36
SEND TO A,1678171055.6206589,0,37
SEND TO B,1678171055.620857,0,38
INTERNAL EVENT,1678171055.787636,0,39
INTERNAL EVENT,1678171055.956531,0,40
SEND TO A,1678171056.121676,0,41
SEND TO B,1678171056.1218822,0,42
SEND TO A,1678171056.294108,0,43
SEND TO B,1678171056.3009,0,44
SEND TO B,1678171056.45882,0,45
INTERNAL EVENT,1678171056.625644,0,46
INTERNAL EVENT,1678171056.79274,0,47
SEND TO B,1678171056.959656,0,48
INTERNAL EVENT,1678171057.1266181,0,49
INTERNAL EVENT,1678171057.293623,0,50
INTERNAL EVENT,1678171057.4606469,0,51
INTERNAL EVENT,1678171057.627608,0,52
INTERNAL EVENT,1678171057.794614,0,53
INTERNAL EVENT,1678171057.9616241,0,54
INTERNAL EVENT,1678171058.128583,0,55
INTERNAL EVENT,1678171058.29566,0,56
INTERNAL EVENT,1678171058.462595,0,57
SEND TO A,1678171058.629689,0,58
SEND TO B,1678171058.63127,0,59
INTERNAL EVENT,1678171058.796624,0,60
INTERNAL EVENT,1678171058.963674,0,61
INTERNAL EVENT,1678171059.130628,0,62
INTERNAL EVENT,1678171059.2976289,0,63
INTERNAL EVENT,1678171059.464607,0,64
SEND TO B,1678171059.631691,0,65
INTERNAL EVENT,1678171059.7986822,0,66
INTERNAL EVENT,1678171059.965618,0,67
SEND TO A,1678171060.132709,0,68
SEND TO B,1678171060.132916,0,69
SEND TO A,1678171060.299669,0,70
